,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons,Runs_per_Season,Batting_Runs_per_Season_Score,Batting_Avg_Score,Batting_SR_Score,Landmarks,Batting_Landmarks_Score,total_boundaries,Batting_total_boundaries_Score,Batting_Total_rating
220,Heinrich Klaasen,35,32,6,993,80,28.3,590,139.8525,1,6,56,64,2024,4,248.25,3,4,4,7,3,120,3,17
402,Nitish Kumar Reddy,13,11,2,303,76,33.67,212,142.92,0,2,15,21,2024,1,303.0,4,5,4,2,2,36,1,16
650,Wriddhiman Saha,170,145,24,2934,93,27.281176470588235,2300,124.75588235294117,1,13,296,87,2024,17,172.58823529411765,2,3,2,14,4,383,5,16
13,Abhishek Sharma,63,61,7,1377,75,25.897142857142857,887,147.08714285714288,0,7,128,73,2024,7,196.71428571428572,3,3,4,7,3,201,3,16
534,Shashank Singh,24,19,7,423,68,30.75,262,155.72500000000002,0,2,33,25,2024,2,211.5,3,4,5,2,2,58,1,15
505,Sam Curran,59,48,13,883,63,24.052,647,151.394,0,5,74,37,2024,5,176.6,2,3,5,5,3,111,2,15
467,Ravindra Jadeja,240,184,76,2959,62,30.63125,2281,130.5075,0,3,215,107,2024,16,184.9375,3,4,2,3,2,322,4,15
348,Mayank Agarwal,127,121,4,2661,99,20.369285714285716,2000,124.90857142857143,1,13,263,98,2024,14,190.07142857142858,3,2,2,14,4,361,4,15
161,Devdutt Padikkal,64,64,2,1559,74,23.358,1266,115.032,1,9,169,42,2024,5,311.8,4,2,1,10,4,211,4,15
296,Krunal Pandya,127,111,38,1647,86,24.275555555555556,1240,132.84555555555556,0,1,144,61,2024,9,183.0,3,3,3,1,1,205,4,14
25,Aiden Markram,44,42,9,995,68,30.955000000000002,767,127.97500000000001,0,5,73,35,2024,4,248.75,3,4,2,5,3,108,2,14
88,Ayush Badoni,42,35,9,634,59,24.436666666666667,473,133.21,0,4,46,24,2024,3,211.33333333333334,3,3,3,4,2,70,2,13
479,Riyan Parag,70,58,10,1173,84,22.938333333333333,868,126.12,0,6,84,60,2024,6,195.5,3,2,2,6,3,144,3,13
160,Deepak Hooda,118,96,16,1465,64,26.044,1131,127.73299999999999,0,8,96,61,2024,10,146.5,2,3,2,8,3,157,3,13
257,Jitesh Sharma,40,36,4,730,49,23.34,483,150.46,0,0,53,45,2024,3,243.33333333333334,3,2,5,0,1,98,2,13
362,Moeen Ali,67,57,6,1162,93,20.565714285714286,821,135.6885714285714,0,6,95,67,2024,7,166.0,2,2,3,6,3,162,3,13
166,Dhruv Jurel,28,22,7,347,56,23.045,229,155.505,0,2,29,16,2024,2,173.5,2,2,5,2,2,45,1,12
475,Rinku Singh,46,40,11,893,67,24.911666666666665,623,124.87666666666667,0,4,67,46,2024,6,148.83333333333334,2,3,2,4,2,113,3,12
474,Rilee Rossouw,22,22,2,473,82,19.06,308,141.3075,0,2,45,25,2024,4,118.25,2,2,4,2,2,70,2,12
582,Sunil Narine,177,110,20,1534,9,11.795384615384616,925,123.79307692307692,1,7,164,97,2024,13,118.0,2,1,2,8,3,261,4,12
631,Vijay Shankar,71,60,16,1115,63,27.3325,859,118.3175,0,6,80,45,2024,8,139.375,2,3,1,6,3,125,3,12
87,Axar Patel,150,113,36,1653,66,21.35363636363636,1263,126.71454545454547,0,3,107,79,2024,11,150.27272727272728,2,2,2,3,2,186,3,11
603,Tim David,38,35,12,659,46,23.5,387,141.59,0,0,38,46,2024,4,164.75,2,2,4,0,1,84,2,11
523,Shahrukh Khan,40,38,10,553,58,19.747500000000002,391,144.45499999999998,0,1,35,37,2024,4,138.25,2,2,4,1,1,72,2,11
444,Rahmanullah Gurbaz,14,13,0,289,81,25.82,216,134.15,0,2,24,19,2024,2,144.5,2,3,3,2,2,43,1,11
417,Pat Cummins,57,41,15,515,66,17.611666666666668,344,140.845,0,3,33,34,2024,6,85.83333333333333,1,1,4,3,2,67,2,10
449,Rahul Tewatia,92,65,25,1013,53,23.91888888888889,752,135.66555555555556,0,1,84,47,2024,9,112.55555555555556,1,2,3,1,1,131,3,10
460,Rashid Khan,121,60,23,545,79,14.85875,337,158.05375,0,1,39,38,2024,8,68.125,1,1,5,1,1,77,2,10
14,Abishek Porel,18,16,2,360,65,20.475,236,132.98,0,2,37,15,2024,2,180.0,2,2,3,2,2,52,1,10
327,Mahipal Lomror,40,35,6,527,8,18.385714285714283,373,153.3942857142857,0,1,33,30,2024,7,75.28571428571429,1,1,5,1,1,63,2,10
4,Abdul Samad,50,40,10,577,4,19.396,395,131.204,0,0,37,36,2024,5,115.4,1,2,3,0,1,73,2,9
149,Daryl Mitchell,15,15,2,351,63,22.705,267,108.8,0,2,28,10,2024,2,175.5,2,2,1,2,2,38,1,8
614,Tristan Stubbs,18,17,6,405,71,22.5,233,107.18,0,3,26,26,2024,3,135.0,2,2,1,3,2,52,1,8
533,Shardul Thakur,95,37,12,307,7,7.958888888888889,221,132.96333333333334,0,1,27,13,2024,9,34.111111111111114,1,1,3,1,1,40,1,7
