,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
117,Cameron Green,29,28,11,707,46,41.05,460,151.765,1,2,62,32,2024,2
190,Faf Du Plessis,45,45,2,1636,96,38.85,1113,147.60666666666665,0,15,156,70,2024,3
239,Jake Fraser - McGurk,9,9,0,330,84,36.67,141,234.04,0,4,32,28,2024,1
265,Jos Buttler,107,106,12,3582,95,37.61666666666667,2428,147.28,7,19,355,161,2024,9
477,Rishabh Pant,111,110,17,3284,97,34.8225,2205,147.7225,1,18,296,154,2024,8
601,Tilak Varma,38,38,9,1156,84,40.190000000000005,790,148.25666666666666,0,6,90,58,2024,3
