,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons,Landmarks,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Econ_Score,Bowling_Landmarks_Score,Bowling_Total_rating
237,Mayank Yadav,4,4,12.1,85,7,12.14,6.98,10.42,0,0,2024,1,0,1,5,5,5,1,17
43,Anrich Nortje,46,46,175.2,1574,60,28.272000000000002,9.344,17.904000000000003,0,0,2024,5,0,4,5,5,2,1,17
339,Sai Kishore,10,10,31.0,258,13,19.865000000000002,8.345,14.425,1,0,2024,2,1,2,5,5,4,1,17
49,Arshdeep Singh,65,65,226.7,2052,76,28.936666666666667,9.226666666666667,19.025000000000002,2,1,2024,6,4,4,4,4,2,3,17
304,Rahul Chahar,78,77,276.8,2141,75,29.677142857142858,7.8342857142857145,22.79714285714286,1,0,2024,7,1,4,4,3,5,1,17
56,Avesh Khan,61,60,214.9,1902,74,29.81833333333333,8.651666666666666,20.448333333333334,1,0,2024,6,1,4,4,4,4,1,17
316,Ravi Bishnoi,66,65,233.7,1828,63,29.526,7.731999999999999,22.61,0,0,2024,5,0,4,4,3,5,1,17
264,Nandre Burger,6,5,17.0,145,7,20.71,8.52,14.57,0,0,2024,1,0,1,5,5,4,1,16
241,Mitchell Marsh,41,33,92.1,789,37,34.00714285714286,8.56857142857143,21.184285714285714,2,0,2024,7,2,3,3,4,4,2,16
194,Khaleel Ahmed,56,56,209.1,1843,74,28.406666666666666,8.75,19.495,0,0,2024,6,0,4,4,4,3,1,16
440,Yash Thakur,19,19,66.8,691,24,29.384999999999998,10.195,17.025,1,1,2024,2,3,3,4,5,1,3,16
319,Ravichandran Ashwin,212,208,753.0,5370,180,30.158,6.873333333333333,25.470666666666666,1,0,2024,15,1,5,3,2,5,1,16
245,Moeen Ali,67,52,125.5,893,35,29.46142857142857,7.408571428571428,23.694285714285712,1,0,2024,7,1,3,4,3,5,1,16
57,Axar Patel,150,148,516.0,3758,123,35.32545454545454,7.368181818181818,28.519999999999996,1,0,2024,11,1,5,3,2,5,1,16
321,Reece Topley,5,5,17.0,182,5,28.0,9.1,17.25,0,0,2024,2,0,1,5,5,3,1,15
363,Shardul Thakur,95,92,309.6,2869,94,34.00222222222222,9.644444444444444,21.18111111111111,1,0,2024,9,1,5,3,4,2,1,15
252,Mohsin Khan,23,23,81.0,689,27,29.409999999999997,8.93,18.98,1,0,2024,3,1,3,4,4,3,1,15
250,Mohammed Siraj,93,93,326.0,2823,93,32.05875,8.7425,21.85625,2,0,2024,8,2,4,3,3,3,2,15
141,Harshal Patel,105,103,359.3,3149,135,36.82083333333333,9.213333333333333,23.345,2,1,2024,12,4,5,2,3,2,3,15
243,Mitchell Santner,18,18,61.0,422,15,28.3,6.996,24.3,0,0,2024,5,0,2,4,3,5,1,15
274,Noor Ahmad,23,23,81.6,659,24,29.655,8.07,21.9,0,0,2024,2,0,3,4,3,4,1,15
199,Kuldeep Sen,10,10,37.1,359,14,24.975,9.785,15.435,1,0,2024,2,1,2,5,5,2,1,15
31,Andre Russell,124,109,274.4,2578,115,37.42,9.649090909090908,22.953636363636363,2,1,2024,11,4,5,2,3,2,3,15
17,Akash Madhwal,13,13,43.400000000000006,424,19,28.32,9.93,16.36,1,1,2024,2,3,2,4,5,1,3,15
400,T Natarajan,61,61,222.2,1969,67,35.25333333333333,8.885,23.849999999999998,1,0,2024,6,1,4,3,3,3,1,14
384,Simarjeet Singh,10,10,30.0,259,9,29.35,8.870000000000001,20.7,0,0,2024,2,0,2,4,4,3,1,14
139,Harpreet Brar,38,36,104.1,806,25,32.95,7.7875,25.57,1,0,2024,4,1,3,3,2,5,1,14
200,Kuldeep Yadav,84,82,290.4,2390,87,39.06125,8.195,28.9775,4,0,2024,8,4,4,2,1,4,3,14
126,Gerald Coetzee,10,10,33.3,341,13,26.23,10.17,15.46,1,0,2024,1,1,2,5,5,1,1,14
102,Deepak Chahar,79,79,272.3,2180,77,36.02142857142857,8.371428571428572,25.07428571428571,2,0,2024,7,2,4,2,2,4,2,14
269,Naveen-Ul-Haq,10,10,36.3,372,14,26.57,10.19,15.64,0,0,2024,1,0,2,5,5,1,1,14
340,Sam Curran,59,58,196.5,1900,58,34.019999999999996,9.652,21.05,1,0,2024,5,1,4,3,4,2,1,14
178,Josh Little,11,11,38.0,339,11,26.625,9.945,17.57,1,0,2024,2,1,2,5,5,1,1,14
315,Rasikh Salam,8,8,24.3,269,9,29.88,10.97,16.33,0,0,2024,1,0,2,4,5,1,1,13
142,Harshit Rana,21,19,64.1,581,25,33.516666666666666,9.306666666666667,21.236666666666668,0,0,2024,3,0,3,3,4,2,1,13
198,Krunal Pandya,127,117,353.0,2606,76,37.58888888888889,7.381111111111112,30.22222222222222,0,0,2024,9,0,4,2,1,5,1,13
416,Umesh Yadav,146,145,501.0,4234,144,45.65538461538461,8.660769230769231,30.266153846153845,3,0,2024,13,3,5,1,1,3,3,13
370,Shivam Dube,25,6,10.0,87,5,16.125,11.055,9.75,0,0,2024,2,0,1,5,5,1,1,13
262,Mustafizur Rahman,56,56,213.2,1728,61,36.82666666666667,8.638333333333334,24.668333333333333,1,0,2024,6,1,4,2,2,4,1,13
97,Darshan Nalkande,6,6,13.6,148,6,29.5,10.573333333333332,16.386666666666667,0,0,2024,3,0,1,4,5,1,1,12
127,Glenn Maxwell,120,70,146.2,1200,37,42.840999999999994,8.434000000000001,28.413999999999998,0,0,2024,10,0,3,2,2,4,1,12
288,Pat Cummins,58,58,219.5,1923,63,38.99857142857143,8.808571428571428,26.23857142857143,1,0,2024,7,1,4,2,2,3,1,12
435,Washington Sundar,60,58,175.4,1325,37,40.96125,8.5875,28.603749999999998,0,0,2024,8,0,3,2,2,4,1,12
6,Abhishek Sharma,46,23,41.0,351,11,34.0,8.722,22.8,0,0,2024,5,0,2,3,3,3,1,12
223,Maheesh Theekshana,27,27,104.0,797,25,43.126666666666665,7.55,34.74,1,0,2024,3,1,3,2,1,5,1,12
149,Ishant Sharma,103,103,364.0,2969,93,47.884166666666665,8.586666666666666,32.1275,0,1,2024,12,2,4,1,1,4,2,12
257,Mukesh Kumar,20,20,66.3,694,24,34.105000000000004,10.434999999999999,19.545,0,0,2024,2,0,3,3,4,1,1,12
345,Sandeep Warrier,8,8,23.0,204,8,31.165,8.945,23.5,0,0,2024,2,0,1,3,3,3,1,11
230,Marcus Stoinis,96,62,131.5,1274,43,38.14,9.77888888888889,23.604444444444443,1,0,2024,9,1,3,2,3,2,1,11
236,Mayank Markande,36,36,117.0,1043,37,39.58,9.198,26.22,2,0,2024,5,2,3,2,2,2,2,11
433,Vyshak Vijaykumar,11,11,38.3,395,13,31.805,10.165,18.875,0,0,2024,2,0,2,3,4,1,1,11
276,Nuwan Thushara,7,7,26.0,257,8,32.12,9.88,19.5,0,0,2024,1,0,1,3,4,2,1,11
248,Mohammad Nabi,23,22,65.2,494,15,39.55,8.18,29.174,1,0,2024,5,1,2,2,1,4,1,10
212,Liam Livingstone,30,21,42.0,380,11,36.22,9.733333333333333,22.666666666666668,0,0,2024,3,0,2,2,3,2,1,10
418,Vaibhav Arora,20,20,63.5,586,19,36.31666666666666,9.17,23.74,0,0,2024,3,0,2,2,3,2,1,10
266,Nathan Ellis,16,16,60.0,516,18,41.6,8.06,31.3825,1,0,2024,4,1,2,2,1,4,1,10
443,Yudhvir Singh,5,5,12.0,123,4,37.83,10.934999999999999,20.0,0,0,2024,2,0,1,2,4,1,1,9
