,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons,Landmarks,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Econ_Score,Bowling_Landmarks_Score,Bowling_Total_rating
447,Yuzvendra Chahal,159,158,581.5,4568,205,23.201818181818183,7.837272727272727,17.94090909090909,6,1,2024,11,8,5,5,5,5,3,23
183,Kagiso Rabada,80,80,302.0,2570,117,25.615714285714287,8.641428571428571,17.61,6,0,2024,7,6,5,5,5,4,3,22
26,Amit Mishra,162,162,561.0,4149,174,24.725,7.613125,19.365625,4,1,2024,16,6,5,5,4,5,3,22
314,Rashid Khan,121,121,475.9,3252,149,22.7925,6.8637500000000005,19.84125,2,0,2024,8,2,5,5,4,5,2,21
164,Jasprit Bumrah,133,133,506.7,3714,165,28.55272727272727,7.852727272727273,21.33090909090909,2,2,2024,11,6,5,4,3,5,3,20
293,Piyush Chawla,192,191,640.0,5108,192,28.1675,8.14125,20.804375,2,0,2024,16,2,5,5,4,4,2,20
233,Matheesha Pathirana,20,20,74.7,592,34,19.506666666666664,7.760000000000001,15.093333333333334,1,0,2024,3,1,3,5,5,5,1,19
244,Mitchell Starc,41,39,137.5,1137,51,23.123333333333335,8.286666666666667,16.886666666666667,2,0,2024,3,2,3,5,5,4,2,19
394,Sunil Narine,177,175,679.0,4571,180,29.79,6.826153846153845,25.71846153846154,7,1,2024,13,9,5,4,2,5,3,19
251,Mohit Sharma,112,111,373.1,3256,132,29.719,9.077,19.234,3,1,2024,10,5,5,4,4,3,3,19
70,Bhuvneshwar Kumar,176,176,650.1,4929,181,30.88,7.444285714285714,24.615714285714287,2,2,2024,14,6,5,3,2,5,3,18
320,Ravindra Jadeja,226,209,634.0,4843,160,34.675333333333334,7.618666666666667,26.88266666666667,3,1,2024,15,5,5,3,2,5,3,18
188,Karn Sharma,78,77,231.3,1916,76,26.938888888888886,8.883333333333333,18.314444444444447,2,0,2024,9,2,4,5,4,3,2,18
377,Shreyas Gopal,48,47,155.0,1247,52,25.665714285714284,8.992857142857144,17.185714285714287,1,0,2024,7,1,4,5,5,3,1,18
344,Sandeep Sharma,127,126,469.0,3709,137,33.39416666666667,7.909166666666667,25.260833333333334,2,1,2024,12,4,5,3,2,5,3,18
420,Varun Chakaravarthy,71,70,264.4,2002,83,29.456666666666667,8.295,21.348333333333333,1,1,2024,6,3,4,4,3,4,3,18
410,Trent Boult,104,103,388.2,3230,121,29.884000000000004,8.495000000000001,20.984,1,0,2024,10,1,5,4,4,4,1,18
167,Jaydev Unadkat,99,98,337.1,2986,99,33.875454545454545,8.850909090909092,22.64090909090909,0,2,2024,11,4,5,3,3,3,3,17
