,Player,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Batting_Landmarks_Score,Batting_total_boundaries_Score,Batting_Total_rating,Bowling_Wkts_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Landmarks_Score,Bowling_Econ_Score,Bowling_Total_rating,All_rounder_rating
3,Andre Russell,4,3,5,4,5,21,5,2,3,3,2,15,18.0
53,Ravindra Jadeja,5,4,2,2,4,17,5,3,2,3,5,18,17.5
16,Glenn Maxwell,5,2,4,5,5,21,3,2,2,1,4,12,16.5
64,Sunil Narine,3,1,2,3,4,13,5,4,2,3,5,19,16.0
49,Rashid Khan,2,1,5,1,2,11,5,5,4,2,5,21,16.0
37,Moeen Ali,3,2,3,3,3,14,3,4,3,1,5,16,15.0
62,Shivam Dube,3,3,4,4,3,17,1,5,5,1,1,13,15.0
58,Sam Curran,2,3,5,3,2,15,4,3,4,1,2,14,14.5
33,Marcus Stoinis,4,3,3,4,4,18,3,2,3,1,2,11,14.5
9,Axar Patel,4,2,2,2,3,13,5,3,2,1,5,16,14.5
26,Krunal Pandya,4,3,3,1,4,15,4,2,1,1,5,13,14.0
17,Hardik Pandya,4,3,4,4,4,19,4,1,1,1,2,9,14.0
0,Abhishek Sharma,3,3,4,3,3,16,2,3,3,1,3,12,14.0
47,Piyush Chawla,2,1,1,1,2,7,5,5,4,2,4,20,13.5
28,Liam Livingstone,3,3,5,3,3,17,2,2,3,1,2,10,13.5
23,Kagiso Rabada,1,1,1,1,1,5,5,5,5,3,4,22,13.5
21,Jasprit Bumrah,1,1,1,1,1,5,5,4,3,3,5,20,12.5
34,Mitchell Marsh,2,1,1,2,2,8,3,3,4,2,4,16,12.0
12,Cameron Green,2,5,5,2,2,16,2,1,1,1,3,8,12.0
40,Mohit Sharma,1,1,1,1,1,5,5,4,4,3,3,19,12.0
24,Karn Sharma,1,1,2,1,1,6,4,5,4,2,3,18,12.0
36,Mitchell Starc,1,1,1,1,1,5,3,5,5,2,4,19,12.0
52,Ravichandran Ashwin,2,1,1,1,2,7,5,3,2,1,5,16,11.5
11,Bhuvneshwar Kumar,1,1,1,1,1,5,5,3,2,3,5,18,11.5
46,Pat Cummins,2,1,4,2,2,11,4,2,2,1,3,12,11.5
66,Trent Boult,1,1,1,1,1,5,5,4,4,1,4,18,11.5
8,Avesh Khan,1,1,1,1,1,5,4,4,4,1,4,17,11.0
60,Shardul Thakur,1,1,3,1,1,7,5,3,4,1,2,15,11.0
7,Arshdeep Singh,1,1,1,1,1,5,4,4,4,3,2,17,11.0
51,Ravi Bishnoi,1,1,1,1,1,5,4,4,3,1,5,17,11.0
57,Sai Kishore,1,1,1,1,1,5,2,5,5,1,4,17,11.0
48,Rahul Chahar,1,1,1,1,1,5,4,4,3,1,5,17,11.0
22,Jaydev Unadkat,1,1,1,1,1,5,5,3,3,3,3,17,11.0
4,Anrich Nortje,1,1,1,1,1,5,4,5,5,1,2,17,11.0
35,Mitchell Santner,1,1,1,1,1,5,2,4,3,1,5,15,10.0
2,Akash Madhwal,1,1,1,1,1,5,2,4,5,3,1,15,10.0
54,Reece Topley,1,1,1,1,1,5,1,5,5,1,3,15,10.0
39,Mohammed Siraj,1,1,1,1,1,5,4,3,3,2,3,15,10.0
41,Mohsin Khan,1,1,1,1,1,5,3,4,4,1,3,15,10.0
19,Harshal Patel,1,1,1,1,1,5,5,2,3,3,2,15,10.0
45,Noor Ahmad,1,1,1,1,1,5,3,4,3,1,4,15,10.0
43,Naveen-Ul-Haq,1,1,1,1,1,5,2,5,5,1,1,14,9.5
18,Harpreet Brar,1,1,1,1,1,5,3,3,2,1,5,14,9.5
27,Kuldeep Yadav,1,1,1,1,1,5,4,2,1,3,4,14,9.5
15,Gerald Coetzee,1,1,1,1,1,5,2,5,5,1,1,14,9.5
44,Nitish Kumar Reddy,1,5,4,2,1,13,1,1,2,1,1,6,9.5
61,Shashank Singh,1,4,5,2,1,13,1,1,1,1,1,5,9.0
50,Rasikh Salam,1,1,1,1,1,5,2,4,5,1,1,13,9.0
68,Umesh Yadav,1,1,1,1,1,5,5,1,1,3,3,13,9.0
13,Darshan Nalkande,1,1,1,1,1,5,1,4,5,1,1,12,8.5
