,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons
447,Yuzvendra Chahal,159,158,581.5,4568,205,23.201818181818183,7.837272727272727,17.94090909090909,6,1,2024,11
26,Amit Mishra,162,162,561.0,4149,174,24.725,7.613125,19.365625,4,1,2024,16
314,Rashid Khan,121,121,475.9,3252,149,22.7925,6.8637500000000005,19.84125,2,0,2024,8
233,Matheesha Pathirana,20,20,74.7,592,34,19.506666666666664,7.760000000000001,15.093333333333334,1,0,2024,3
237,Mayank Yadav,4,4,12.1,85,7,12.14,6.98,10.42,0,0,2024,1
