,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons
447,Yuzvendra Chahal,159,158,581.5,4568,205,23.201818181818183,7.837272727272727,17.94090909090909,6,1,2024,11
293,Piyush Chawla,192,191,640.0,5108,192,28.1675,8.14125,20.804375,2,0,2024,16
26,Amit Mishra,162,162,561.0,4149,174,24.725,7.613125,19.365625,4,1,2024,16
164,Jasprit Bumrah,133,133,506.7,3714,165,28.55272727272727,7.852727272727273,21.33090909090909,2,2,2024,11
314,Rashid Khan,121,121,475.9,3252,149,22.7925,6.8637500000000005,19.84125,2,0,2024,8
233,Matheesha Pathirana,20,20,74.7,592,34,19.506666666666664,7.760000000000001,15.093333333333334,1,0,2024,3
243,Mitchell Santner,18,18,61.0,422,15,28.3,6.996,24.3,0,0,2024,5
237,Mayank Yadav,4,4,12.1,85,7,12.14,6.98,10.42,0,0,2024,1
