,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
99,Hanuma Vihari,2,2,0,4,2.0,8,50.0,0,0,0,0,1
100,Harbhajan Singh,52,20,11,142,1.97,143,16.94,0,0,14,4,5
101,Hardik Pandya,98,92,32,1851,4.27,1268,19.89,0,7,137,102,7
102,Hardus Viljoen,6,3,1,3,1.5,7,42.85,0,0,0,0,1
103,Harpreet Brar,14,9,6,106,0.81,95,40.56,0,0,6,5,3
104,Harry Gurney,8,1,1,1,0.0,5,20.0,0,0,0,0,1
105,Harshal Patel,42,22,9,183,3.75,144,20.31,0,0,13,10,5
106,Harshit Rana,2,2,1,2,2.0,2,100.0,0,0,0,0,1
107,Hashim Amla,16,16,3,577,21.54,407,69.44,2,3,60,21,2
108,Heinrich Klaasen,7,6,1,66,5.88,57,52.82,0,0,5,1,2
109,Hrithik Shokeen,5,3,1,43,21.5,48,89.58,0,0,5,0,1
110,Imran Tahir,25,4,3,20,0.31,21,18.84,0,0,3,0,4
111,Iqbal Abdulla,10,3,3,42,0.0,34,52.11,0,0,4,1,2
112,Irfan Pathan,5,4,0,13,1.42,16,37.82,0,0,0,0,2
113,Ish Sodhi,8,2,0,7,1.75,17,17.8,0,0,0,0,2
114,Ishan Kishan,75,70,6,1870,3.92,1413,18.1,0,12,166,85,7
115,Ishank Jaggi,2,2,1,33,33.0,39,84.61,0,0,3,0,1
116,Ishant Sharma,19,6,4,18,1.0,15,100.0,0,0,2,1,2
117,Isuru Udana,10,4,1,15,5.0,11,136.36,0,0,1,1,1
118,JP Duminy,16,12,6,227,18.55,196,53.11,0,0,16,4,2
119,Jagadeesan Narayan,2,2,1,40,40.0,37,108.1,0,0,3,1,1
120,Jagadeesha Suchith,8,4,1,22,0.78,29,33.15,0,0,2,1,3
121,James Faulkner,15,11,4,131,9.79,116,56.31,0,0,11,0,2
122,James Neesham,2,2,0,31,15.5,27,114.81,0,0,3,0,1
123,James Pattinson,10,2,1,15,15.0,13,115.38,0,0,2,0,1
124,Jason Holder,31,23,5,231,3.9,188,30.64,0,0,11,16,4
125,Jason Roy,13,13,2,329,9.94,255,44.35,0,2,39,9,3
126,Jasprit Bumrah,89,18,13,55,1.17,55,15.49,0,0,4,1,6
127,Javon Searles,4,2,1,8,8.0,6,133.33,0,0,0,1,1
128,Jayant Yadav,10,5,1,40,5.0,36,47.69,0,0,2,1,2
129,Jaydev Unadkat,56,22,11,161,1.73,125,15.9,0,0,13,6,6
130,Jhye Richardson,3,2,0,15,7.5,24,62.5,0,0,2,0,1
131,Jimmy Neesham,8,5,1,19,2.38,20,26.39,0,0,0,1,2
132,Jitesh Sharma,12,10,2,234,29.25,143,163.63,0,0,22,12,1
133,Joe Denly,1,1,0,0,0.0,1,0.0,0,0,0,0,1
134,Jofra Archer,35,23,10,195,6.15,124,46.48,0,0,11,14,3
135,Jonny Bairstow,39,39,3,1291,9.46,905,35.65,1,9,133,55,4
136,Jos Buttler,82,81,10,2831,5.52,1891,21.34,5,15,277,135,7
137,Josh Hazlewood,12,5,5,18,0.0,26,69.23,0,0,1,0,1
138,Josh Philippe,5,5,1,78,19.5,77,101.29,0,0,9,1,1
139,K L Rahul,15,15,3,616,51.33,455,135.38,2,4,45,30,1
140,K.S Bharat,8,7,2,191,38.2,156,122.43,0,1,10,8,1
141,KC Cariappa,10,5,2,24,1.56,21,49.64,0,0,0,2,3
142,KL Rahul,69,67,13,2945,10.85,2094,28.34,2,27,258,126,5
143,Kagiso Rabada,63,26,10,186,2.38,177,24.87,0,0,16,6,5
144,Kamlesh Nagarkoti,11,7,3,22,1.83,33,17.74,0,0,1,0,2
145,Kane Richardson,4,1,1,1,0.0,1,100.0,0,0,0,0,1
146,Kane Williamson,74,73,16,2070,5.05,1640,17.47,0,18,181,63,7
147,Karan Sharma,1,1,0,4,4.0,4,100.0,0,0,1,0,1
148,Karn Sharma,14,9,3,85,2.04,71,59.88,0,0,8,3,2
149,Kartik Tyagi,16,7,3,13,1.06,16,25.92,0,0,1,0,3
150,Karun Nair,49,43,3,976,2.87,782,18.53,0,6,105,25,6
151,Kedar Jadhav,46,39,11,612,2.07,527,18.87,0,2,56,19,6
152,Keemo Paul,8,6,1,18,3.6,24,75.0,0,0,1,1,1
