,Player,POS,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,size
217,Piyush Chawla,520,47,17,5,98,0.0,105,330.09000000000003,0,0,9,3,1
218,Prabhsimran Singh,272,5,5,0,50,0.0,55,276.71,0,0,4,2,1
219,Pradeep Sahu,96,5,2,1,19,0.0,13,146.15,0,0,1,1,1
220,Pradeep Sangwan,422,9,5,1,4,0.6666666666666666,13,90.0,0,0,0,0,1
221,Prashant Chopra,110,1,1,0,8,0.0,6,133.33,0,0,2,0,1
222,Prasidh Krishna,680,51,10,7,9,6.0,24,120.0,0,0,0,0,1
223,Praveen Kumar,198,22,9,4,36,0.0,36,192.57999999999998,0,0,4,0,1
224,Pravin Dubey,104,3,1,1,7,0.0,13,53.84,0,0,0,0,1
225,Pravin Tambe,112,7,1,1,7,0.0,19,36.84,0,0,1,0,1
226,Prayas Ray Barman,83,1,1,0,19,0.0,24,79.16,0,0,2,0,1
227,Prerak Mankad,146,1,1,1,4,0.0,1,400.0,0,0,1,0,1
228,Prithvi Raj Yarra,137,2,1,1,0,0.0,1,0.0,0,0,0,0,1
229,Prithvi Shaw,129,63,63,0,1588,9.433333333333334,1077,735.45,0,12,192,55,1
230,Priyam Garg,198,21,17,1,251,23.0,218,356.49,0,1,15,9,1
231,Quinton De Kock,3,15,15,1,508,12.096666666666666,341,148.97,1,3,47,23,1
232,Quinton de Kock,75,64,64,5,1975,0.0,1501,649.57,1,14,192,75,1
233,Rahul Chahar,524,55,19,6,108,12.83,100,515.65,0,0,10,4,1
234,Rahul Tewatia,362,60,45,17,722,6.2,553,799.56,0,1,57,34,1
235,Rahul Tripathi,153,76,74,10,1798,37.55,1277,826.8299999999999,0,10,176,68,1
236,Rajagopal Sathish,91,4,3,0,24,0.0,24,100.0,0,0,1,1,1
237,Rajangad Bawa,127,2,2,0,11,0.9166666666666666,14,78.57,0,0,1,0,1
238,Rajat Bhatia,173,13,8,6,50,0.0,37,264.11,0,0,1,3,1
239,Rajat Patidar,89,12,11,1,404,55.5,280,267.26,1,2,30,21,1
240,Ramandeep Singh,91,5,4,2,45,3.75,40,112.5,0,0,3,1,1
241,Rashid Khan,459,92,43,15,313,22.75,206,904.11,0,0,20,22,1
242,Rasikh Salam,250,3,2,1,12,7.0,10,241.66,0,0,1,0,1
243,Rassie van der Dussen,111,3,3,1,22,2.75,24,91.66,0,0,2,0,1
244,Ravi Bishnoi,245,23,4,2,8,0.0,16,83.33,0,0,1,0,1
