,Player,POS,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,size
319,Unmukt Chand,133,1,1,0,0,0.0,4,0.0,0,0,0,0,1
320,Usman Khawaja,50,6,6,0,127,0.0,100,127.0,0,0,14,3,1
321,Vaibhav Arora,145,5,4,2,5,1.25,13,38.46,0,0,0,0,1
322,Varun Aaron,370,14,5,3,8,0.0,27,92.85,0,0,0,0,1
323,Varun Chakaravarthy,358,41,10,7,24,0.0,37,183.32,0,0,2,0,1
324,Venkatesh Iyer,71,22,22,2,552,3.31,457,236.16,0,5,54,21,1
325,Vijay Shankar,373,50,43,12,731,2.375,599,671.1700000000001,0,3,46,28,1
326,Vinay Kumar,213,5,3,2,19,0.0,15,308.33,0,0,1,1,1
327,Virat Kohli,82,100,100,13,3487,5.6825,2618,911.6,5,25,302,108,1
328,Virat Singh,106,3,2,0,15,0.0,26,57.69,0,0,1,0,1
329,Vishnu Vinod,90,3,3,0,19,0.0,26,73.07,0,0,1,1,1
330,Wanindu Hasaranga,234,18,9,1,39,1.8099999999999998,45,138.37,0,0,4,1,1
331,Washington Sundar,513,51,33,10,318,14.43,264,608.54,0,0,26,9,1
332,Wriddhiman Saha,279,66,62,6,1374,15.85,1106,890.16,0,8,150,28,1
333,Yashasvi Jaiswal,132,23,23,0,547,25.8,406,372.09000000000003,0,3,62,22,1
334,Yusuf Pathan,166,55,45,20,804,0.0,608,488.78,0,4,65,31,1
335,Yuvraj Singh,180,34,31,3,651,0.0,504,493.91,0,3,65,29,1
336,Yuzvendra Chahal,733,88,16,9,35,1.0,84,220.36,0,0,0,0,1
337,Zaheer Khan,241,23,5,2,10,0.0,26,76.91,0,0,1,0,1
