,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
34,Rahul Tripathi,11,11,1,230,81.0,,181,127.07,0,1,21,10
35,Prithvi Shaw,13,13,0,228,66.0,,167,136.52,0,2,27,8
36,Wriddhiman Saha,4,4,1,214,87.0,,153,139.86,0,2,24,5
37,Ruturaj Gaikwad,6,6,2,204,72.0,,169,120.71,0,3,16,6
38,MS Dhoni,14,12,4,200,47.0,,172,116.27,0,0,16,7
39,Robin Uthappa,12,12,0,196,41.0,,164,119.51,0,0,19,7
40,Sam Curran,14,11,3,186,52.0,,141,131.91,0,1,12,12
41,Shimron Hetmyer,12,11,3,185,45.0,,125,148.0,0,0,11,12
42,Dinesh Karthik,14,14,2,169,58.0,,134,126.11,0,1,20,4
43,Pat Cummins,14,11,4,146,53.0,,114,128.07,0,1,9,8
44,Priyam Garg,14,10,1,133,51.0,,111,119.81,0,1,9,4
45,Mandeep Singh,7,7,1,130,66.0,,109,119.26,0,1,10,4
46,Shivam Dube,11,9,2,129,27.0,,105,122.85,0,0,5,9
47,Sunil Narine,10,9,0,121,64.0,,85,142.35,0,1,10,8
48,Andre Russell,10,9,0,117,25.0,,81,144.44,0,0,9,9
49,Axar Patel,15,9,1,117,42.0,,85,137.64,0,0,6,8
50,Ajinkya Rahane,9,8,0,113,60.0,,107,105.6,0,1,12,2
51,Jofra Archer,14,10,4,113,27.0,,63,179.36,0,0,5,10
52,Abdul Samad,12,8,3,111,33.0,,65,170.76,0,0,8,6
53,Washington Sundar,15,9,3,111,30.0,,95,116.84,0,0,10,2
54,Krunal Pandya,16,12,6,109,34.0,,92,118.47,0,0,9,5
55,Glenn Maxwell,13,11,4,108,32.0,,106,101.88,0,0,9,0
56,Saurabh Tiwary,7,5,0,103,42.0,,80,128.75,0,0,8,3
57,Deepak Hooda,7,5,4,101,62.0,,71,142.25,0,1,5,5
58,Vijay Shankar,7,5,1,97,52.0,,96,101.04,0,1,10,1
59,Riyan Parag,12,8,1,86,42.0,,77,111.68,0,0,6,3
60,Tom Curran,5,4,3,83,54.0,,62,133.87,0,1,5,3
61,Josh Philippe,5,5,1,78,33.0,,77,101.29,0,0,9,1
62,Abhishek Sharma,8,7,2,71,31.0,,56,126.78,0,0,6,3
63,Gurkeerat Mann Singh,8,5,5,71,21.0,,80,88.75,0,0,8,0
64,Jason Holder,7,4,2,66,26.0,,53,124.52,0,0,5,3
65,Kedar Jadhav,8,5,2,62,26.0,,66,93.93,0,0,7,0
66,Mahipal Lomror,3,3,0,59,47.0,,54,109.25,0,0,2,3
67,Kagiso Rabada,17,8,4,56,15.0,,49,114.28,0,0,4,2
68,Lockie Ferguson,5,2,2,43,24.0,,29,148.27,0,0,4,1
69,Krishnappa Gowtham,2,2,1,42,22.0,,27,155.55,0,0,3,2
70,Yashasvi Jaiswal,3,3,0,40,34.0,,44,90.9,0,0,2,2
71,Shreyas Gopal,14,5,1,37,23.0,,39,94.87,0,0,3,0
72,Ravichandran Ashwin,15,6,3,37,14.0,,34,108.82,0,0,3,1
73,Rashid Khan,16,7,3,35,14.0,,30,116.66,0,0,3,2
74,Chris Morris,9,5,1,34,25.0,,21,161.9,0,0,2,3
75,Narayan Jagadeesan,5,2,0,33,33.0,,29,113.79,0,0,4,0
76,Sarfaraz Khan,5,3,1,33,14.0,,29,113.79,0,0,5,0
77,Alex Carey,3,3,1,32,14.0,,29,110.34,0,0,0,1
78,Murali Vijay,3,3,0,32,21.0,,43,74.41,0,0,4,0
79,Chris Jordan,9,5,2,29,13.0,,31,93.54,0,0,2,0
80,Navdeep Saini,13,3,2,27,12.0,,27,100.0,0,0,3,0
81,Nathan Coulter-Nile,7,2,1,25,24.0,,15,166.66,0,0,4,0
82,Kamlesh Nagarkoti,10,6,3,22,8.0,,31,70.96,0,0,1,0
83,Harshal Patel,5,2,0,21,16.0,,24,87.5,0,0,2,0
84,Tushar Deshpande,5,2,1,21,20.0,,12,175.0,0,0,2,1
85,Jimmy Neesham,5,3,1,19,10.0,,18,105.55,0,0,0,1
86,Tom Banton,2,2,0,18,10.0,,20,90.0,0,0,1,1
87,Mohammed Siraj,9,3,2,17,10.0,,14,121.42,0,0,2,0
88,Karun Nair,4,3,1,16,15.0,,14,114.28,0,0,2,0
89,Prabhsimran Singh,2,2,0,15,11.0,,15,100.0,0,0,2,0
90,Isuru Udana,10,4,1,15,10.0,,11,136.36,0,0,1,1
91,James Pattinson,10,2,1,15,11.0,,13,115.38,0,0,2,0
92,Imran Tahir,3,1,1,13,13.0,,10,130.0,0,0,2,0
93,Kuldeep Yadav,5,2,1,13,12.0,,21,61.9,0,0,1,0
94,Moeen Ali,3,3,0,12,11.0,,16,75.0,0,0,1,0
95,Shardul Thakur,9,2,1,12,11.0,,21,57.14,0,0,0,0
