,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons,Batting_Runs_Score,Batting_Avg_Score,Batting_SR_Score,Landmarks,Batting_Landmarks_Score,total_boundaries,Batting_total_boundaries_Score,Batting_Total_rating
427,Rahul Tewatia,80,56,23,825,53,23.55125,623,134.4075,0,1,60,42,2023,8,2,3,4,1,1,102,3,13
25,Aiden Markram,33,31,7,775,68,33.126666666666665,590,129.20333333333335,0,4,55,31,2023,3,2,4,4,4,1,86,2,13
345,Moeen Ali,59,52,6,1034,93,19.726666666666667,723,136.535,0,5,88,59,2023,6,3,2,4,5,1,147,3,13
209,Heinrich Klaasen,19,17,3,514,6,24.426666666666666,310,129.44666666666666,1,2,37,26,2023,3,2,3,4,3,1,63,2,12
549,Sunil Narine,162,96,20,1046,9,9.873333333333333,655,119.0475,0,4,114,64,2023,12,3,1,3,4,1,178,4,12
274,Kedar Jadhav,95,81,27,1208,69,15.093333333333334,981,118.2075,0,4,102,40,2023,12,3,2,3,4,1,142,3,12
451,Rinku Singh,31,29,9,725,67,26.160000000000004,510,120.11800000000001,0,4,54,38,2023,5,2,3,4,4,1,92,2,12
291,Kyle Mayers,13,13,0,379,73,29.15,263,144.1,0,4,38,22,2023,1,1,3,5,4,1,60,2,12
438,Rashid Khan,109,52,20,443,79,14.067142857142857,266,160.10999999999999,0,1,28,35,2023,7,1,2,5,1,1,63,2,11
94,Ben Stokes,45,44,6,935,8,19.44,698,106.43166666666666,2,2,81,32,2023,6,2,2,3,4,1,113,3,11
455,Riyan Parag,54,44,7,600,56,17.107999999999997,484,121.502,0,2,44,27,2023,5,2,2,4,2,1,71,2,11
569,Tim David,25,24,9,418,46,21.290000000000003,235,135.93666666666667,0,0,24,31,2023,3,1,3,4,0,1,55,2,11
488,Sarfaraz Khan,50,37,11,585,67,22.00375,448,119.3225,0,1,63,14,2023,8,2,3,3,1,1,77,2,11
496,Shahrukh Khan,33,31,10,426,47,20.283333333333335,316,136.16333333333333,0,0,26,28,2023,3,1,3,4,0,1,54,2,11
83,Ayush Badoni,28,23,5,399,59,21.965,302,131.10500000000002,0,2,24,19,2023,2,1,3,4,2,1,43,1,10
311,Mahipal Lomror,30,25,4,402,8,18.845,305,148.32333333333335,0,1,24,21,2023,6,1,2,5,1,1,45,1,10
444,Ravichandran Ashwin,197,85,31,714,8,12.191428571428572,601,107.39714285714285,0,1,56,24,2023,14,2,2,3,1,1,80,2,10
535,Simran Singh,15,15,0,372,14,19.785,249,138.845,1,1,40,19,2023,2,1,2,4,2,1,59,2,10
4,Abdul Samad,34,28,8,395,4,19.695,287,121.8775,0,0,22,25,2023,4,1,2,4,0,1,47,1,9
235,Jason Holder,40,27,6,259,47,14.055,211,122.09666666666668,0,0,13,18,2023,6,1,2,4,0,1,31,1,9
340,Mitchell Marsh,38,32,2,604,89,15.942857142857141,483,93.68857142857142,0,3,39,35,2023,7,2,2,2,3,1,74,2,9
294,Lalit Yadav,25,19,5,295,48,23.400000000000002,278,105.09333333333332,0,0,26,7,2023,3,1,3,3,0,1,33,1,9
403,Piyush Chawla,174,86,34,609,8,10.649285714285714,548,98.83857142857143,0,0,55,19,2023,14,2,2,2,0,1,74,2,9
418,Priyam Garg,23,19,1,273,51,15.7925,241,113.035,0,1,16,9,2023,4,1,2,3,1,1,25,1,8
504,Shardul Thakur,86,34,10,286,7,6.32875,204,134.14375,0,1,25,12,2023,8,1,1,4,1,1,37,1,8
