,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
74,Nitish Kumar Reddy,13,7,13.1,3,153,51.0,11.62,26.33,0,0,2024
75,Keshav Maharaj,2,2,6.0,2,39,19.5,6.5,18.0,0,0,2024
76,Mitchell Santner,3,3,9.0,2,64,32.0,7.11,27.0,0,0,2024
77,Maheesh Theekshana,5,5,20.0,2,144,72.0,7.2,60.0,0,0,2024
78,Abhishek Sharma,16,4,7.0,2,51,25.5,7.28,21.0,0,0,2024
79,Mohammad Nabi,7,6,12.2,2,109,54.5,8.83,37.0,0,0,2024
80,Moeen Ali,8,4,8.0,2,71,35.5,8.87,24.0,0,0,2024
81,Vidwath Kaverappa,1,1,4.0,2,36,18.0,9.0,12.0,0,0,2024
82,Will Jacks,8,5,9.0,2,100,50.0,11.11,27.0,0,0,2024
83,Anshul Kamboj,3,3,10.0,2,114,57.0,11.4,30.0,0,0,2024
84,Shashank Singh,14,1,1.0,1,5,5.0,5.0,6.0,0,0,2024
85,Nathan Ellis,1,1,4.0,1,24,24.0,6.0,24.0,0,0,2024
86,M Siddharth,3,3,9.0,1,71,71.0,7.88,54.0,0,0,2024
87,Vijayakanth Viyaskanth,3,3,10.0,1,86,86.0,8.6,60.0,0,0,2024
88,Richard Gleeson,2,2,7.5,1,71,71.0,9.06,47.0,0,0,2024
89,Matt Henry,4,4,12.0,1,110,110.0,9.16,72.0,0,0,2024
90,Amit Mishra,1,1,2.0,1,20,20.0,10.0,12.0,0,0,2024
91,Mayank Dagar,5,5,11.5,1,120,120.0,10.14,71.0,0,0,2024
92,Arshad Khan,4,4,10.1,1,114,114.0,11.21,61.0,0,0,2024
93,Daryl Mitchell,13,2,6.0,1,70,70.0,11.66,36.0,0,0,2024
94,Alzarri Joseph,3,3,9.4,1,115,115.0,11.89,58.0,0,0,2024
95,Lizaad Williams,2,2,6.0,1,72,72.0,12.0,36.0,0,0,2024
96,Mitchell Marsh,4,3,8.0,1,103,103.0,12.87,48.0,0,0,2024
97,Marco Jansen,3,3,10.0,1,129,129.0,12.9,60.0,0,0,2024
98,Yudhvir Singh,2,2,4.0,1,52,52.0,13.0,24.0,0,0,2024
99,Romario Shepherd,6,5,12.0,1,159,159.0,13.25,72.0,0,0,2024
100,Shivam Dube,14,1,1.0,1,14,14.0,14.0,6.0,0,0,2024
101,Washington Sundar,2,2,5.0,1,73,73.0,14.6,30.0,0,0,2024
102,Kwena Maphaka,2,2,6.0,1,89,89.0,14.83,36.0,0,0,2024
103,Luke Wood,2,2,6.0,1,93,93.0,15.5,36.0,0,0,2024
104,Akash Deep,1,1,3.3,1,55,55.0,15.71,21.0,0,0,2024
105,Mohammad Shami,17,17,65.0,28,522,18.64,8.03,13.92,2,0,2023
106,Mohit Sharma,14,14,44.1,27,361,13.37,8.17,9.81,2,1,2023
107,Rashid Khan,17,17,67.0,27,552,20.44,8.23,14.88,1,0,2023
108,Piyush Chawla,16,16,61.0,22,495,22.5,8.11,16.63,0,0,2023
109,Yuzvendra Chahal,14,14,52.5,21,432,20.57,8.17,15.09,3,0,2023
110,Tushar Deshpande,16,16,56.5,21,564,26.85,9.92,16.23,0,0,2023
111,Ravindra Jadeja,16,16,57.0,20,431,21.55,7.56,17.1,0,0,2023
112,Varun Chakaravarthy,14,14,52.4,20,429,21.45,8.14,15.8,1,0,2023
113,Mohammed Siraj,14,14,50.0,19,376,19.78,7.52,15.78,1,0,2023
114,Matheesha Pathirana,12,12,46.2,19,371,19.52,8.0,14.63,0,0,2023
115,Arshdeep Singh,14,14,50.5,17,493,29.0,9.69,17.94,1,0,2023
116,Ravi Bishnoi,15,14,50.3,16,391,24.43,7.74,18.93,0,0,2023
117,Noor Ahmad,13,13,47.1,16,369,23.06,7.82,17.68,0,0,2023
118,Bhuvneshwar Kumar,14,14,51.0,16,425,26.56,8.33,19.12,0,1,2023
119,Ravichandran Ashwin,13,13,49.0,14,368,26.28,7.51,21.0,0,0,2023
120,Akash Madhwal,8,8,25.3,14,219,15.64,8.58,10.92,1,1,2023
121,Jason Behrendorff,12,12,42.0,14,387,27.64,9.21,18.0,0,0,2023
122,Harshal Patel,13,13,47.0,14,454,32.42,9.65,20.14,0,0,2023
123,Trent Boult,10,10,38.0,13,312,24.0,8.21,17.53,0,0,2023
124,Deepak Chahar,10,10,34.0,13,297,22.84,8.73,15.69,0,0,2023
125,Nathan Ellis,10,10,38.0,13,339,26.07,8.92,17.53,1,0,2023
126,Yash Thakur,9,9,31.5,13,289,22.23,9.07,14.69,1,0,2023
127,Mayank Markande,10,10,38.0,12,300,25.0,7.89,19.0,1,0,2023
128,Mitchell Marsh,9,8,20.1,12,170,14.16,8.42,10.08,1,0,2023
129,Axar Patel,14,13,47.0,11,338,30.72,7.19,25.63,0,0,2023
130,Naveen-ul-Haq,8,7,28.0,11,219,19.9,7.82,15.27,1,0,2023
131,Sunil Narine,14,14,48.0,11,383,34.81,7.97,26.18,0,0,2023
132,Maheesh Theekshana,13,13,49.0,11,392,35.63,8.0,26.72,0,0,2023
133,Mark Wood,4,4,16.0,11,130,11.81,8.12,8.72,0,1,2023
134,Kuldeep Yadav,14,14,49.0,10,361,36.1,7.36,29.4,0,0,2023
135,Suyash Sharma,11,11,39.0,10,321,32.1,8.23,23.4,0,0,2023
136,Ishant Sharma,8,8,25.0,10,206,20.6,8.24,15.0,0,0,2023
137,Sandeep Sharma,12,12,46.0,10,396,39.6,8.6,27.6,0,0,2023
138,Anrich Nortje,10,10,40.0,10,364,36.4,9.1,24.0,0,0,2023
139,T Natarajan,12,12,45.0,10,410,41.0,9.11,27.0,0,0,2023
140,Marco Jansen,8,8,27.0,10,267,26.7,9.88,16.2,0,0,2023
141,Sam Curran,14,14,47.5,10,489,48.9,10.22,28.7,0,0,2023
142,Karn Sharma,7,7,21.3,10,223,22.3,10.37,12.9,0,0,2023
143,Krunal Pandya,15,12,42.0,9,313,34.77,7.45,28.0,0,0,2023
144,Moeen Ali,15,11,26.0,9,195,21.66,7.5,17.33,1,0,2023
145,Harpreet Brar,13,11,27.1,9,218,24.22,8.02,18.11,1,0,2023
146,Wanindu Hasaranga,8,8,29.0,9,258,28.66,8.89,19.33,0,0,2023
147,Khaleel Ahmed,9,9,33.0,9,301,33.44,9.12,22.0,0,0,2023
148,Wayne Parnell,7,7,25.1,9,236,26.22,9.37,16.77,0,0,2023
149,Vyshak Vijaykumar,7,7,24.0,9,253,28.11,10.54,16.0,0,0,2023
150,Rahul Chahar,14,14,49.4,8,385,48.12,7.75,37.25,0,0,2023
151,Adam Zampa,6,6,22.0,8,188,23.5,8.54,16.5,0,0,2023
152,Avesh Khan,9,9,29.0,8,283,35.37,9.75,21.75,0,0,2023
153,Amit Mishra,7,7,19.0,7,149,21.28,7.84,16.28,0,0,2023
154,Josh Little,10,10,34.0,7,294,42.0,8.64,29.14,0,0,2023
155,Alzarri Joseph,7,7,24.0,7,225,32.14,9.37,20.57,0,0,2023
156,Kagiso Rabada,6,6,23.0,7,232,33.14,10.08,19.71,0,0,2023
157,Shardul Thakur,11,9,21.0,7,220,31.42,10.47,18.0,0,0,2023
158,Mukesh Kumar,10,10,31.0,7,326,46.57,10.51,26.57,0,0,2023
159,Riley Meredith,5,5,19.4,7,207,29.57,10.52,16.85,0,0,2023
160,Andre Russell,14,9,15.1,7,172,24.57,11.34,13.0,0,0,2023
161,Michael Bracewell,5,5,11.0,6,95,15.83,8.63,11.0,0,0,2023
162,Cameron Green,16,16,38.0,6,361,60.16,9.5,38.0,0,0,2023
