,Player,Mat,Inns,Ov,Wkts,Runs,Avg,Econ,SR,4w,5w,year
325,Mohammad Shami,14,14,52.0,19,395,20.78,7.5,16.63,0,0,2021
326,Rashid Khan,14,14,56.0,18,375,20.83,6.69,18.66,0,0,2021
327,Arshdeep Singh,12,12,41.0,18,342,19.0,8.27,13.77,0,1,2021
328,Varun Chakaravarthy,17,17,68.0,18,448,24.88,6.58,22.66,0,0,2021
329,Yuzvendra Chahal,15,15,53.0,18,374,20.77,7.05,17.66,0,0,2021
330,Jason Holder,8,8,32.0,16,247,15.43,7.75,11.93,1,0,2021
331,Sunil Narine,14,14,56.0,16,361,22.56,6.44,21.0,1,0,2021
332,Chris Morris,11,11,41.0,15,376,25.06,9.17,16.4,1,0,2021
333,Axar Patel,12,12,46.0,15,306,20.4,6.65,18.4,0,0,2021
334,Kagiso Rabada,15,15,56.0,15,456,30.4,8.14,22.4,0,0,2021
335,Chetan Sakariya,14,14,52.0,14,426,30.42,8.19,22.28,0,0,2021
336,Deepak Chahar,15,15,54.0,14,451,32.21,8.35,23.14,2,0,2021
337,Dwayne Bravo,11,11,33.0,14,263,18.78,7.81,14.42,0,0,2021
338,Mustafizur Rahman,14,14,52.0,14,436,31.14,8.41,22.21,0,0,2021
339,Ravindra Jadeja,16,16,49.0,13,346,26.61,7.06,22.61,0,0,2021
340,Lockie Ferguson,8,8,30.0,13,224,17.23,7.46,13.84,0,0,2021
341,Trent Boult,14,14,51.0,13,406,31.23,7.9,23.69,0,0,2021
342,Rahul Chahar,11,11,43.0,13,318,24.46,7.39,19.84,1,0,2021
343,Ravi Bishnoi,9,9,35.0,12,222,18.5,6.34,17.5,0,0,2021
344,Anrich Nortje,8,8,30.0,12,187,15.58,6.16,15.16,0,0,2021
345,Prasidh Krishna,10,10,38.0,12,351,29.25,9.11,19.25,0,0,2021
346,Shivam Mavi,9,9,32.0,11,233,21.18,7.24,17.54,1,0,2021
347,Josh Hazlewood,9,9,35.0,11,293,26.63,8.37,19.09,0,0,2021
348,Mohammed Siraj,15,15,52.0,11,353,32.09,6.78,28.36,0,0,2021
349,Andre Russell,10,8,19.0,11,188,17.09,9.89,10.36,0,1,2021
350,Pat Cummins,7,7,27.0,9,237,26.33,8.83,17.88,0,0,2021
351,Sam Curran,9,9,33.0,9,328,36.44,9.93,22.0,0,0,2021
352,Kyle Jamieson,9,9,28.0,9,269,29.88,9.6,18.66,0,0,2021
353,Rahul Tewatia,14,13,37.0,8,340,42.5,9.18,27.75,0,0,2021
354,Siddarth Kaul,8,8,30.0,7,247,35.28,8.23,25.71,0,0,2021
355,Nathan Coulter-Nile,5,5,20.0,7,127,18.14,6.35,17.14,1,0,2021
356,Ravichandran Ashwin,13,13,44.0,7,331,47.28,7.41,38.28,0,0,2021
357,Shahbaz Ahmed,11,6,14.0,7,92,13.14,6.57,12.0,0,0,2021
358,Amit Mishra,4,4,14.0,6,109,18.16,7.78,14.0,1,0,2021
359,Bhuvneshwar Kumar,11,11,42.0,6,335,55.83,7.97,42.0,0,0,2021
360,Moeen Ali,15,10,25.0,6,161,26.83,6.35,25.33,0,0,2021
361,Lungi Ngidi ,3,3,12.0,5,125,25.0,10.41,14.4,0,0,2021
362,Chris Woakes,3,3,11.0,5,82,16.4,7.45,13.2,0,0,2021
363,Krunal Pandya,13,12,33.0,5,265,53.0,7.98,39.8,0,0,2021
364,Jimmy Neesham,3,3,9.0,5,66,13.2,7.33,10.8,0,0,2021
365,Harpreet Brar,7,7,23.0,5,139,27.8,6.04,27.6,0,0,2021
366,Kieron Pollard,14,9,13.0,5,95,19.0,7.21,15.8,0,0,2021
367,Khaleel Ahmed,7,7,27.0,5,219,43.8,8.11,32.4,0,0,2021
368,Abhishek Sharma,8,6,10.0,4,64,16.0,6.4,15.0,0,0,2021
369,Lalit Yadav,7,5,14.0,4,101,25.25,7.21,21.0,0,0,2021
370,Jaydev Unadkat,6,6,22.0,4,168,42.0,7.63,33.0,0,0,2021
371,Tom Curran,3,3,11.0,4,104,26.0,9.17,17.0,0,0,2021
372,Chris Jordan,4,4,12.0,4,96,24.0,8.0,18.0,0,0,2021
373,Kartik Tyagi,4,4,14.0,4,124,31.0,8.85,21.0,0,0,2021
374,Moises Henriques,5,5,10.0,4,45,11.25,4.5,15.0,0,0,2021
375,Dan Christian,9,9,16.0,4,155,38.75,9.3,25.0,0,0,2021
376,Riley Meredith,5,5,17.0,4,169,42.25,9.94,25.5,0,0,2021
377,Shakib Al Hasan,8,8,26.0,4,187,46.75,7.19,39.0,0,0,2021
378,Washington Sundar,6,6,16.0,3,118,39.33,7.37,32.0,0,0,2021
379,Venkatesh Iyer,10,4,8.0,3,69,23.0,8.11,17.0,0,0,2021
380,Sandeep Sharma,7,7,23.0,3,203,67.66,8.63,47.0,0,0,2021
381,Adam Milne,4,4,14.0,3,131,43.66,9.35,28.0,0,0,2021
382,Tim Southee,3,3,12.0,3,95,31.66,7.91,24.0,0,0,2021
383,Vijay Shankar,7,5,11.0,3,100,33.33,9.09,22.0,0,0,2021
384,Jhye Richardson,3,3,11.0,3,117,39.0,10.63,22.0,0,0,2021
385,Glenn Maxwell,15,6,16.0,3,135,45.0,8.43,32.0,0,0,2021
386,George Garton,5,5,15.0,3,135,45.0,9.0,30.0,0,0,2021
387,T Natarajan,2,2,8.0,2,69,34.5,8.62,24.0,0,0,2021
388,Jayant Yadav,5,5,17.0,2,130,65.0,7.64,51.0,0,0,2021
389,Imran Tahir,1,1,4.0,2,16,8.0,4.0,12.0,0,0,2021
390,Umran Malik,3,3,12.0,2,96,48.0,8.0,36.0,0,0,2021
391,Marco Jansen,2,2,6.0,2,45,22.5,7.5,18.0,0,0,2021
392,Marcus Stoinis,10,8,11.0,2,117,58.5,10.47,33.5,0,0,2021
393,Mohammad Nabi,3,3,8.0,2,86,43.0,10.75,24.0,0,0,2021
394,Mujeeb Ur Rahman,1,1,4.0,2,29,14.5,7.25,12.0,0,0,2021
395,Deepak Hooda,12,7,16.0,2,136,68.0,8.5,48.0,0,0,2021
396,Fabian Allen,4,3,11.0,1,90,90.0,8.18,66.0,0,0,2021
397,Glenn Phillips,3,2,2.0,1,20,20.0,10.0,12.0,0,0,2021
398,Piyush Chawla,1,1,4.0,1,38,38.0,9.5,24.0,0,0,2021
399,Ishan Porel,1,1,4.0,1,39,39.0,9.75,24.0,0,0,2021
400,Daniel Sams,2,2,6.0,1,39,39.0,6.5,36.0,0,0,2021
401,Ishant Sharma,3,3,12.0,1,97,97.0,8.08,72.0,0,0,2021
402,Kane Richardson,1,1,3.0,1,29,29.0,9.66,18.0,0,0,2021
403,KM Asif,1,1,2.0,1,18,18.0,8.3,13.0,0,0,2021
404,Shahbaz Nadeem,1,1,4.0,1,36,36.0,9.0,24.0,0,0,2021
405,Lukman Meriwala,1,1,3.0,1,32,32.0,10.66,18.0,0,0,2021
406,Mahipal Lomror,4,4,7.0,1,47,47.0,6.71,42.0,0,0,2021
407,Riyan Parag,11,6,6.0,1,73,73.0,11.83,37.0,0,0,2021
408,Murugan Ashwin,3,3,11.0,1,97,97.0,8.81,66.0,0,0,2021
409,Nathan Ellis,3,3,12.0,1,98,98.0,8.16,72.0,0,0,2021
410,Kagiso Rabada,17,17,65.0,30,548,18.26,8.34,13.13,2,0,2020
411,Jasprit Bumrah,15,15,60.0,27,404,14.96,6.73,13.33,2,0,2020
412,Trent Boult,15,15,57.0,25,457,18.28,7.97,13.76,1,0,2020
413,Anrich Nortje,16,16,61.0,22,512,23.27,8.39,16.63,0,0,2020
414,Yuzvendra Chahal,15,15,57.0,21,405,19.28,7.08,16.33,0,0,2020
415,Mohammad Shami,14,14,53.0,20,460,23.0,8.57,16.1,0,0,2020
416,Jofra Archer,14,14,55.0,20,365,18.25,6.55,16.7,0,0,2020
417,Rashid Khan,16,16,64.0,20,344,17.2,5.37,19.2,0,0,2020
418,Varun Chakaravarthy,13,13,52.0,17,356,20.94,6.84,18.35,0,1,2020
419,T Natarajan,16,16,63.0,16,504,31.5,8.02,23.56,0,0,2020
420,Rahul Chahar,15,15,53.0,15,433,28.86,8.16,21.2,0,0,2020
421,Jason Holder,7,7,28.0,14,233,16.64,8.32,12.0,0,0,2020
422,Sandeep Sharma,13,13,52.0,14,374,26.71,7.19,22.28,0,0,2020
423,Marcus Stoinis,17,13,29.0,13,283,21.76,9.53,13.69,0,0,2020
424,Ravichandran Ashwin,15,15,51.0,13,391,30.07,7.66,23.53,0,0,2020
425,Sam Curran,14,13,42.0,13,344,26.46,8.19,19.38,0,0,2020
426,Pat Cummins,14,14,52.0,12,409,34.08,7.86,26.0,1,0,2020
427,Ravi Bishnoi,14,14,51.0,12,376,31.33,7.37,25.5,0,0,2020
428,Deepak Chahar,14,14,52.0,12,396,33.0,7.61,26.0,0,0,2020
429,Mohammed Siraj,9,9,27.0,11,236,21.45,8.68,14.81,0,0,2020
430,James Pattinson,10,10,35.0,11,320,29.09,9.01,19.36,0,0,2020
431,Chris Morris,9,9,31.0,11,210,19.09,6.63,17.27,1,0,2020
432,Shreyas Gopal,14,14,50.0,10,427,42.7,8.54,30.0,0,0,2020
433,Murugan Ashwin,9,9,31.0,10,235,23.5,7.46,18.9,0,0,2020
434,Shardul Thakur,9,9,32.0,10,275,27.5,8.5,19.4,0,0,2020
435,Rahul Tewatia,14,14,46.0,10,326,32.6,7.08,27.6,0,0,2020
436,Lungi Ngidi ,4,4,16.0,9,167,18.55,10.43,10.66,0,0,2020
437,Kartik Tyagi,10,10,38.0,9,367,40.77,9.61,25.44,0,0,2020
438,Arshdeep Singh,8,8,25.0,9,218,24.22,8.77,16.55,0,0,2020
439,Axar Patel,15,15,51.0,9,327,36.33,6.41,34.0,0,0,2020
440,Shivam Mavi,8,8,26.0,9,212,23.55,8.15,17.33,0,0,2020
441,Chris Jordan,9,9,31.0,9,304,33.77,9.65,21.0,0,0,2020
442,Khaleel Ahmed,7,7,25.0,8,242,30.25,9.42,19.25,0,0,2020
443,Isuru Udana,10,10,29.0,8,282,35.25,9.72,21.75,0,0,2020
444,Washington Sundar,15,15,50.0,8,298,37.25,5.96,37.5,0,0,2020
445,Piyush Chawla,7,7,21.0,6,191,31.83,9.09,21.0,0,0,2020
446,Navdeep Saini,13,13,45.0,6,379,63.16,8.29,45.66,0,0,2020
447,Sheldon Cottrell,6,6,20.0,6,176,29.33,8.8,20.0,0,0,2020
448,Lockie Ferguson,5,5,20.0,6,148,24.66,7.46,19.83,0,0,2020
449,Ravindra Jadeja,14,13,36.0,6,318,53.0,8.75,36.33,0,0,2020
450,Krunal Pandya,16,16,50.0,6,380,63.33,7.57,50.16,0,0,2020
451,Dwayne Bravo,6,6,21.0,6,180,30.0,8.57,21.0,0,0,2020
452,Andre Russell,10,7,18.0,6,175,29.16,9.72,18.0,0,0,2020
453,Shahbaz Nadeem,7,7,22.0,5,178,35.6,8.09,26.4,0,0,2020
454,Nathan Coulter-Nile,7,7,26.0,5,206,41.2,7.92,31.2,0,0,2020
455,Karn Sharma,5,5,19.0,5,165,33.0,8.68,22.8,0,0,2020
456,Kamlesh Nagarkoti,10,9,26.0,5,231,46.2,8.88,31.2,0,0,2020
457,Sunil Narine,10,10,38.0,5,302,60.4,7.94,45.6,0,0,2020
458,Vijay Shankar,7,5,13.0,4,82,20.5,6.22,19.75,0,0,2020
459,Shivam Dube,11,5,9.0,4,73,18.25,8.11,13.5,0,0,2020
460,Kieron Pollard,16,11,21.0,4,190,47.5,9.04,31.5,0,0,2020
461,Prasidh Krishna,6,6,17.0,4,164,41.0,9.37,26.25,0,0,2020
462,Jaydev Unadkat,7,7,23.0,4,228,57.0,9.91,34.5,0,0,2020
463,Bhuvneshwar Kumar,4,4,14.0,3,99,33.0,6.98,28.33,0,0,2020
464,Glenn Maxwell,13,7,21.0,3,169,56.33,8.04,42.0,0,0,2020
465,Harshal Patel,5,5,15.0,3,134,44.66,8.93,30.0,0,0,2020
466,Tom Curran,5,5,18.0,3,208,69.33,11.44,36.33,0,0,2020
467,Tushar Deshpande,5,5,17.0,3,192,64.0,11.29,34.0,0,0,2020
468,Amit Mishra,3,3,10.0,3,72,24.0,7.2,20.0,0,0,2020
469,Ankit Rajpoot,6,6,17.0,2,199,99.5,11.7,51.0,0,0,2020
470,Siddarth Kaul,1,1,4.0,2,64,32.0,16.0,12.0,0,0,2020
471,Ben Stokes,8,6,15.0,2,154,77.0,10.26,45.0,0,0,2020
472,Adam Zampa,3,3,11.0,2,92,46.0,8.36,33.0,0,0,2020
473,Abhishek Sharma,8,6,10.0,2,91,45.5,9.1,30.0,0,0,2020
474,Shahbaz Ahmed,2,2,6.0,2,44,22.0,7.33,18.0,0,0,2020
475,Jimmy Neesham,5,5,15.0,2,148,74.0,9.86,45.0,0,0,2020
476,Mitchell Santner,2,2,7.0,2,53,26.5,7.57,21.0,0,0,2020
477,Dale Steyn,3,3,11.0,1,133,133.0,11.4,70.0,0,0,2020
478,Basil Thampi,1,1,4.0,1,46,46.0,11.5,24.0,0,0,2020
479,Imran Tahir,3,3,11.0,1,76,76.0,6.9,66.0,0,0,2020
480,Jayant Yadav,2,2,7.0,1,43,43.0,6.14,42.0,0,0,2020
481,Andrew Tye,1,1,4.0,1,50,50.0,12.5,24.0,0,0,2020
482,Josh Hazlewood,3,3,10.0,1,64,64.0,6.4,60.0,0,0,2020
483,Mohit Sharma,1,1,4.0,1,45,45.0,11.25,24.0,0,0,2020
484,Krishnappa Gowtham,2,2,8.0,1,84,84.0,10.5,48.0,0,0,2020
485,Moeen Ali,3,3,5.0,1,42,42.0,8.4,30.0,0,0,2020
486,Kuldeep Yadav,5,4,12.0,1,92,92.0,7.66,72.0,0,0,2020
487,Abdul Samad,12,3,7.0,1,96,96.0,13.71,42.0,0,0,2020
488,Imran Tahir,17,17,64.0,26,431,16.57,6.69,14.84,2,0,2019
489,Kagiso Rabada,12,12,47.0,25,368,14.72,7.82,11.28,2,0,2019
490,Deepak Chahar,17,17,64.0,22,482,21.9,7.47,17.59,0,0,2019
491,Shreyas Gopal,14,14,48.0,20,347,17.35,7.22,14.4,0,0,2019
492,Mohammad Shami,14,14,54.0,19,469,24.68,8.68,17.05,0,0,2019
493,Khaleel Ahmed,9,9,35.0,19,287,15.1,8.23,11.0,0,0,2019
494,Jasprit Bumrah,16,16,61.0,19,409,21.52,6.63,19.47,0,0,2019
495,Yuzvendra Chahal,14,14,49.0,18,386,21.44,7.82,16.44,1,0,2019
496,Rashid Khan,15,15,60.0,17,377,22.17,6.28,21.17,0,0,2019
497,Lasith Malinga,12,12,45.0,16,438,27.37,9.76,16.81,2,0,2019
498,Harbhajan Singh,11,11,44.0,16,312,19.5,7.09,16.5,0,0,2019
499,Ravichandran Ashwin,14,14,55.0,15,400,26.66,7.27,22.0,0,0,2019
500,Ravindra Jadeja,16,16,54.0,15,343,22.86,6.35,21.6,0,0,2019
501,Hardik Pandya,16,16,42.0,14,390,27.85,9.17,18.21,0,0,2019
502,Chris Morris,9,9,33.0,13,306,23.53,9.27,15.23,0,0,2019
503,Rahul Chahar,13,13,47.0,13,308,23.69,6.55,21.69,0,0,2019
504,Ishant Sharma,13,13,46.0,13,349,26.84,7.58,21.23,0,0,2019
505,Bhuvneshwar Kumar,15,15,59.0,13,461,35.46,7.81,27.23,0,0,2019
506,Krunal Pandya,16,16,46.0,12,335,27.91,7.28,23.0,0,0,2019
507,Sandeep Sharma,11,11,42.0,12,352,29.33,8.25,21.33,0,0,2019
508,Dwayne Bravo,12,12,41.0,11,330,30.0,8.01,22.45,0,0,2019
509,Amit Mishra,11,11,40.0,11,270,24.54,6.75,21.81,0,0,2019
510,Andre Russell,14,12,30.0,11,287,26.09,9.51,16.45,0,0,2019
511,Navdeep Saini,13,13,48.0,11,397,36.09,8.27,26.18,0,0,2019
512,Jofra Archer,11,11,43.0,11,291,26.45,6.76,23.45,0,0,2019
513,Sam Curran,9,9,33.0,10,323,32.3,9.78,19.8,1,0,2019
514,Axar Patel,14,14,51.0,10,364,36.4,7.13,30.6,0,0,2019
515,Piyush Chawla,13,13,44.0,10,399,39.9,8.96,26.7,0,0,2019
516,Sunil Narine,12,12,44.0,10,347,34.7,7.82,26.6,0,0,2019
517,Jaydev Unadkat,11,11,37.0,10,398,39.8,10.66,22.4,0,0,2019
518,Keemo Paul,8,8,27.0,9,237,26.33,8.72,18.11,0,0,2019
519,Shardul Thakur,10,9,30.0,8,281,35.12,9.36,22.5,0,0,2019
520,Mohammad Nabi,8,8,29.0,8,194,24.25,6.65,21.87,1,0,2019
521,Umesh Yadav,11,11,38.0,8,371,46.37,9.8,28.37,0,0,2019
522,Sandeep Lamichhane,6,6,23.0,8,210,26.25,9.13,17.25,0,0,2019
523,Mohammed Siraj,9,9,28.0,7,269,38.42,9.55,24.14,0,0,2019
524,Harry Gurney,8,8,27.0,7,238,34.0,8.81,23.14,0,0,2019
525,Hardus Viljoen,6,6,23.0,7,222,31.71,9.65,19.71,0,0,2019
526,Siddarth Kaul,7,7,27.0,6,242,40.33,8.96,27.0,0,0,2019
527,Moeen Ali,11,9,25.0,6,169,28.16,6.76,25.0,0,0,2019
528,Alzarri Joseph ,3,3,8.0,6,87,14.5,10.03,8.66,0,1,2019
529,Dhawal Kulkarni,10,10,35.0,6,335,55.83,9.57,35.0,0,0,2019
530,Ben Stokes,9,6,17.0,6,189,31.5,11.22,16.83,0,0,2019
531,Jason Behrendorff,5,5,19.0,5,165,33.0,8.68,22.8,0,0,2019
532,Trent Boult,5,5,19.0,5,163,32.6,8.57,22.8,0,0,2019
533,Oshane Thomas,4,4,10.0,5,79,15.8,7.9,12.0,0,0,2019
534,Murugan Ashwin,10,10,34.0,5,255,51.0,7.5,40.8,0,0,2019
535,Washington Sundar,3,3,9.0,4,74,18.5,8.22,13.5,0,0,2019
536,Dale Steyn,2,2,8.0,4,69,17.25,8.62,12.0,0,0,2019
537,Ish Sodhi,2,2,7.0,4,67,16.75,9.34,10.75,0,0,2019
538,Prasidh Krishna,11,11,40.0,4,377,94.25,9.34,60.5,0,0,2019
539,Kuldeep Yadav,9,9,33.0,4,286,71.5,8.66,49.5,0,0,2019
540,Mitchell Santner,4,4,14.0,4,94,23.5,6.71,21.0,0,0,2019
541,Varun Aaron,5,5,12.0,4,116,29.0,9.66,18.0,0,0,2019
542,Mujeeb Ur Rahman,5,5,19.0,3,191,63.66,10.05,38.0,0,0,2019
543,Arshdeep Singh,3,3,10.0,3,109,36.33,10.9,20.0,0,0,2019
544,Nitish Rana,14,6,8.0,3,72,24.0,9.0,16.0,0,0,2019
545,Ankit Rajpoot,4,4,16.0,3,152,50.66,9.5,32.0,0,0,2019
546,Pawan Negi,7,4,11.0,3,102,34.0,9.13,22.33,0,0,2019
547,Andrew Tye,6,6,22.0,3,233,77.66,10.59,44.0,0,0,2019
548,Mitchell McClenaghan,5,5,18.0,3,142,47.33,7.88,36.0,0,0,2019
549,Shakib Al Hasan,3,3,11.0,2,95,47.5,8.76,32.5,0,0,2019
550,Shahbaz Nadeem,3,3,9.0,2,90,45.0,10.0,27.0,0,0,2019
551,Scott Kuggeleijn,2,2,8.0,2,71,35.5,8.87,24.0,0,0,2019
552,Sandeep Warrier,3,3,12.0,2,85,42.5,7.08,36.0,0,0,2019
553,Marcus Stoinis,10,6,16.0,2,145,72.5,8.7,50.0,0,0,2019
554,Riyan Parag,7,7,14.0,2,121,60.5,8.64,42.0,0,0,2019
555,Harshal Patel,2,2,8.0,2,77,38.5,9.62,24.0,0,0,2019
556,Rahul Tewatia,5,3,6.0,2,42,21.0,6.63,19.0,0,0,2019
557,Jagadeesha Suchith,1,1,4.0,2,28,14.0,7.0,12.0,0,0,2019
558,Lockie Ferguson,5,5,17.0,2,183,91.5,10.76,51.0,0,0,2019
559,Abhishek Sharma,3,2,2.0,1,21,21.0,10.5,12.0,0,0,2019
560,Deepak Hooda,11,2,2.0,1,21,21.0,10.5,12.0,0,0,2019
561,Vijay Shankar,15,5,8.0,1,70,70.0,8.75,48.0,0,0,2019
562,Varun Chakaravarthy,1,1,3.0,1,35,35.0,11.66,18.0,0,0,2019
563,Mayank Markande,3,3,6.0,1,59,59.0,9.83,36.0,0,0,2019
564,Kulwant Khejroliya,2,2,5.0,1,47,47.0,9.4,30.0,0,0,2019
565,Krishnappa Gowtham,7,7,20.0,1,166,166.0,8.3,120.0,0,0,2019
566,Tim Southee,3,3,9.0,1,118,118.0,13.11,54.0,0,0,2019
567,Karn Sharma,1,1,3.0,1,33,33.0,11.64,17.0,0,0,2019
568,Stuart Binny,8,5,7.0,1,44,44.0,6.28,42.0,0,0,2019
569,Anukul Roy,1,1,2.0,1,11,11.0,5.5,12.0,0,0,2019
570,Mohit Sharma,1,1,3.0,1,27,27.0,9.0,18.0,0,0,2019
571,Sherfane Rutherford,7,6,7.0,1,59,59.0,8.63,41.0,0,0,2019
572,Ben Cutting,3,1,2.0,1,27,27.0,13.5,12.0,0,0,2019
573,Jayant Yadav,2,2,7.0,1,50,50.0,7.14,42.0,0,0,2019
574,Prithvi Raj Yarra,2,2,5.0,1,57,57.0,11.4,30.0,0,0,2019
575,Andrew Tye,14,14,56.0,24,448,18.66,8.0,14.0,3,0,2018
576,Siddarth Kaul,17,17,66.0,21,547,26.04,8.28,18.85,0,0,2018
577,Rashid Khan,17,17,68.0,21,458,21.8,6.73,19.42,0,0,2018
578,Umesh Yadav,14,14,53.0,20,418,20.9,7.86,15.95,0,0,2018
579,Hardik Pandya,13,13,42.0,18,381,21.16,8.92,14.22,0,0,2018
580,Trent Boult,14,14,52.0,18,466,25.88,8.84,17.55,0,0,2018
581,Jasprit Bumrah,14,14,54.0,17,372,21.88,6.88,19.05,0,0,2018
582,Sunil Narine,16,16,61.0,17,467,27.47,7.65,21.52,0,0,2018
583,Kuldeep Yadav,16,16,51.0,17,418,24.58,8.14,18.11,1,0,2018
584,Shardul Thakur,13,13,46.0,16,431,26.93,9.23,17.5,0,0,2018
585,Jofra Archer,10,10,39.0,15,325,21.66,8.36,15.53,0,0,2018
586,Mayank Markande,14,14,44.0,15,368,24.53,8.36,17.6,1,0,2018
587,Dwayne Bravo,16,16,53.0,14,533,38.07,9.96,22.92,0,0,2018
588,Mitchell McClenaghan,11,11,40.0,14,332,23.71,8.3,17.14,0,0,2018
589,Mujeeb Ur Rahman,11,11,41.0,14,289,20.64,6.99,17.71,0,0,2018
590,Piyush Chawla,15,15,49.0,14,412,29.42,8.4,21.0,0,0,2018
591,Shakib Al Hasan,17,17,57.0,14,456,32.57,8.0,24.42,0,0,2018
592,Andre Russell,16,15,38.0,13,355,27.3,9.38,17.46,0,0,2018
593,Sandeep Sharma,12,12,44.0,12,333,27.75,7.56,22.0,0,0,2018
594,Krunal Pandya,14,13,40.0,12,284,23.66,7.07,20.08,0,0,2018
595,Amit Mishra,10,10,37.0,12,264,22.0,7.13,18.5,0,0,2018
596,Yuzvendra Chahal,14,14,50.0,12,363,30.25,7.26,25.0,0,0,2018
597,Ankit Rajpoot,8,8,26.0,11,223,20.27,8.52,14.27,0,1,2018
598,Mohammed Siraj,11,11,41.0,11,367,33.36,8.95,22.36,0,0,2018
599,Lungi Ngidi ,7,7,26.0,11,156,14.18,6.0,14.18,1,0,2018
600,Krishnappa Gowtham,15,15,40.0,11,312,28.36,7.8,21.81,0,0,2018
601,Ravindra Jadeja,16,14,41.0,11,303,27.54,7.39,22.36,0,0,2018
602,Jaydev Unadkat,15,15,50.0,11,486,44.18,9.65,27.45,0,0,2018
603,Shreyas Gopal,11,10,31.0,11,236,21.45,7.61,16.9,1,0,2018
604,Deepak Chahar,12,12,38.0,10,278,27.8,7.28,22.9,0,0,2018
605,Prasidh Krishna,7,7,28.0,10,260,26.0,9.28,16.8,1,0,2018
606,Ravichandran Ashwin,14,14,50.0,10,410,41.0,8.09,30.4,0,0,2018
607,Ben Laughlin,7,7,21.0,9,211,23.44,10.04,14.0,0,0,2018
608,Bhuvneshwar Kumar,12,12,46.0,9,354,39.33,7.66,30.77,0,0,2018
609,Chris Woakes,5,5,18.0,8,190,23.75,10.36,13.75,0,0,2018
610,Ben Stokes,13,12,37.0,8,303,37.87,8.18,27.75,0,0,2018
611,Harshal Patel,5,5,17.0,7,167,23.85,9.54,15.0,0,0,2018
612,Mohit Sharma,9,9,29.0,7,322,46.0,10.85,25.42,0,0,2018
613,Mustafizur Rahman,7,7,27.0,7,230,32.85,8.36,23.57,0,0,2018
614,Harbhajan Singh,13,12,32.0,7,270,38.57,8.48,27.28,0,0,2018
615,Imran Tahir,6,6,20.0,6,188,31.33,9.09,20.66,0,0,2018
616,Tom Curran,5,5,10.0,6,118,19.66,11.6,10.16,0,0,2018
617,Rahul Tewatia,8,8,22.0,6,173,28.83,7.86,22.0,0,0,2018
618,Shane Watson,15,11,28.0,6,251,41.83,8.96,28.0,0,0,2018
619,Tim Southee,8,8,29.0,5,261,52.2,9.0,34.8,0,0,2018
620,Sandeep Lamichhane,3,3,12.0,5,82,16.4,6.83,14.4,0,0,2018
621,Basil Thampi,4,4,10.0,5,114,22.8,11.21,12.2,0,0,2018
622,Shivam Mavi,9,9,28.0,5,270,54.0,9.64,33.6,0,0,2018
623,Billy Stanlake,4,4,16.0,5,130,26.0,8.12,19.2,0,0,2018
624,Carlos Brathwaite,4,4,10.0,5,94,18.8,9.24,12.2,0,0,2018
625,Glenn Maxwell,12,10,16.0,5,132,26.4,8.25,19.2,0,0,2018
626,Ish Sodhi,6,6,23.0,5,135,27.0,5.86,27.6,0,0,2018
627,Dhawal Kulkarni,8,8,20.0,4,188,47.0,9.47,29.75,0,0,2018
628,Washington Sundar,7,7,20.0,4,192,48.0,9.6,30.0,0,0,2018
629,Avesh Khan,6,6,19.0,4,204,51.0,10.73,28.5,0,0,2018
630,Nitish Rana,15,5,6.0,4,44,11.0,7.13,9.25,0,0,2018
631,Barinder Sran,6,6,22.0,4,229,57.25,10.4,33.0,0,0,2018
632,Dan Christian,4,4,12.0,4,101,25.25,8.53,17.75,0,0,2018
633,Liam Plunkett,7,7,25.0,4,225,56.25,9.0,37.5,0,0,2018
634,Karn Sharma,6,5,9.0,4,89,22.25,9.36,14.25,0,0,2018
635,Shahbaz Nadeem,6,6,15.0,3,161,53.66,10.73,30.0,0,0,2018
636,Axar Patel,9,8,26.0,3,218,72.66,8.38,52.0,0,0,2018
637,Mohammad Shami,4,4,14.0,3,144,48.0,10.4,27.66,0,0,2018
638,Corey Anderson,3,3,8.0,3,115,38.33,13.26,17.33,0,0,2018
639,KM Asif,2,2,6.0,3,75,25.0,12.5,12.0,0,0,2018
640,Moeen Ali,5,5,13.0,3,97,32.33,7.36,26.33,0,0,2018
641,Murugan Ashwin,2,2,7.0,3,53,17.66,7.57,14.0,0,0,2018
642,Marcus Stoinis,7,6,11.0,3,120,40.0,10.9,22.0,0,0,2018
643,Chris Morris,4,4,14.0,3,143,47.66,10.21,28.0,0,0,2018
644,Colin de Grandhomme,9,7,15.0,2,129,64.5,8.6,45.0,0,0,2018
645,Vinay Kumar,2,2,4.0,2,65,32.5,16.95,11.5,0,0,2018
646,David Willey,3,3,10.0,2,95,47.5,9.5,30.0,0,0,2018
647,Mitchell Johnson,6,6,21.0,2,216,108.0,10.28,63.0,0,0,2018
648,Kulwant Khejroliya,3,3,11.0,2,107,53.5,9.87,32.5,0,0,2018
649,Javon Searles,4,3,7.0,2,89,44.5,12.71,21.0,0,0,2018
650,Ben Cutting,9,7,17.0,2,168,84.0,9.88,51.0,0,0,2018
651,Pawan Negi,2,2,4.0,1,49,49.0,12.25,24.0,0,0,2018
652,D'Arcy Short,7,2,3.0,1,19,19.0,6.33,18.0,0,0,2018
653,Anureet Singh,3,3,4.0,1,42,42.0,10.5,24.0,0,0,2018
