,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
372,Mohnish Mishra,18,17,1,237,41,11.946666666666667,208,108.97666666666667,0,0,24,8,2012,3
373,Mohsin Khan,18,4,2,25,2,12.5,17,171.875,0,0,2,1,2024,2
374,Moises Henriques,62,54,18,1000,9,24.19625,788,124.47375,0,5,87,28,2021,8
375,Morne Morkel,70,23,12,126,8,6.2375,90,117.4325,0,0,11,5,2016,8
376,Mujeeb Ur Rahman,19,7,4,12,10,2.75,15,69.045,0,0,2,0,2021,4
377,Mukesh Choudhary,13,2,1,6,4,6.0,6,100.0,0,0,1,0,2022,1
378,Mukesh Kumar,20,5,4,10,6,1.5,18,55.55,0,0,0,0,2024,2
379,Munaf Patel,32,10,5,37,4,3.75,33,51.730000000000004,0,0,5,0,2017,4
380,Murali Kartik,54,16,9,113,21,5.833333333333333,108,97.76166666666666,0,0,7,1,2013,6
381,Murali Vijay,106,106,5,2619,95,23.326363636363634,2149,113.72727272727273,2,13,247,91,2020,11
382,Murugan Ashwin,42,13,4,35,9,3.25,50,59.70166666666666,0,0,2,1,2022,6
383,Musavir Khote,4,3,1,24,9,12.0,22,109.09,0,0,2,1,2008,1
384,Mustafizur Rahman,31,9,8,13,8,0.25,23,62.6175,0,0,0,1,2023,4
385,Muttiah Muralitharan,40,8,3,20,6,2.0,27,69.78999999999999,0,0,1,0,2012,4
386,Naman Dhir,7,7,1,140,62,23.33,79,177.21,0,1,12,10,2024,1
387,Naman Ojha,113,94,19,1554,94,18.66,1313,105.453,0,6,121,79,2018,10
388,Narayan Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,4,0,2020,1
389,Nathan Coulter-Nile,37,16,5,82,9,6.522857142857142,72,105.53,0,0,7,4,2022,7
390,Nathan Ellis,13,4,1,19,12,9.25,23,63.39,0,0,0,1,2023,2
391,Nathan McCullum,2,2,1,26,15,26.0,22,118.18,0,0,0,1,2011,1
392,Navdeep Saini,30,7,3,33,2,8.25,37,75.0,0,0,3,0,2022,4
393,Naveen-Ul-Haq,10,3,3,2,2,0.0,4,50.0,0,0,0,0,2024,1
394,Naveen-ul-Haq,8,3,2,16,13,16.0,21,76.19,0,0,2,0,2023,1
395,Nehal Wadera,14,10,1,241,64,26.78,166,145.18,0,2,23,12,2023,1
396,Nehal Wadhera,6,6,0,109,49,18.17,84,129.76,0,0,9,6,2024,1
397,Nic Maddinson,3,3,0,20,4,6.0,21,85.71000000000001,0,0,4,0,2015,2
398,Nicholas Pooran,76,73,18,1769,77,33.58,1090,155.67166666666665,0,9,113,127,2024,6
399,Nikhil Naik,4,4,0,31,7,6.5,50,50.423333333333325,0,0,2,0,2020,3
400,Niraj Patel,9,6,2,121,57,30.25,119,87.25999999999999,0,1,14,1,2009,2
401,Nitin Saini,10,10,0,140,50,14.0,141,99.29,0,1,16,0,2012,1
402,Nitish Kumar Reddy,13,11,2,303,76,33.67,212,142.92,0,2,15,21,2024,1
403,Nitish Rana,107,101,9,2636,87,28.650000000000002,1952,134.56,0,18,234,132,2024,9
404,Noor Ahmad,23,7,3,13,7,3.25,18,72.215,0,0,2,0,2024,2
405,Nuwan Kulasekara,5,1,1,5,5,0.0,3,166.66,0,0,1,0,2012,1
406,Nuwan Zoysa,3,2,1,11,10,11.0,9,122.22,0,0,1,0,2008,1
407,Obed McCoy,7,1,0,8,8,8.0,5,160.0,0,0,0,1,2022,1
408,Odean Smith,6,6,3,51,25,17.0,44,115.9,0,0,1,5,2022,1
409,Owais Shah,23,22,7,506,76,30.192500000000003,389,133.97,0,4,34,23,2013,4
410,PM Sarvesh Kumar,2,1,1,1,1,0.0,2,50.0,0,0,0,0,2008,1
411,Paidikalva Vijaykumar,9,2,2,1,1,0.0,1,100.0,0,0,0,0,2008,1
412,Pankaj Singh,10,5,3,7,4,0.6666666666666666,12,54.166666666666664,0,0,0,0,2010,3
413,Paras Dogra,13,12,1,127,6,8.623333333333333,138,75.31333333333333,0,0,4,5,2013,3
414,Parthiv Patel,139,137,11,2848,81,22.320833333333336,2358,119.01083333333334,0,13,365,49,2019,12
415,Parveez Rasool,8,4,2,17,4,5.0,20,88.88666666666666,0,0,1,0,2016,3
416,Parvinder Awana,12,2,2,4,4,0.0,5,80.0,0,0,0,0,2012,1
417,Pat Cummins,57,41,15,515,66,17.611666666666668,344,140.845,0,3,33,34,2024,6
418,Paul Collingwood,8,7,2,203,75,40.6,156,130.12,0,3,9,13,2010,1
419,Paul Valthaty,23,23,1,505,6,12.4025,418,70.27250000000001,1,2,61,20,2013,4
420,Pawan Negi,47,35,9,365,5,13.791666666666666,289,107.39333333333333,0,0,27,16,2019,6
421,Peter Handscomb,2,1,0,6,6,6.0,12,50.0,0,0,0,0,2016,1
422,Phil Salt,21,21,2,653,89,33.4,372,172.95,0,6,74,34,2024,2
423,Pinal Shah,16,10,2,92,5,10.386666666666667,91,100.35333333333334,0,0,9,2,2011,3
424,Piyush Chawla,185,92,36,624,8,10.189333333333334,563,98.916,0,0,56,20,2024,15
425,Prabhsimran Singh,19,19,0,384,71,14.215,268,108.3775,0,2,38,22,2024,4
426,Pradeep Sahu,5,2,1,19,18,19.0,13,146.15,0,0,1,1,2016,1
427,Pradeep Sangwan,26,10,3,20,6,2.3333333333333335,34,66.90333333333334,0,0,1,0,2022,6
428,Pragyan Ojha,69,20,9,13,4,1.366,37,37.498000000000005,0,0,0,0,2013,5
429,Prashant Chopra,1,1,0,8,8,8.0,6,133.33,0,0,2,0,2018,1
430,Prasidh Krishna,51,10,7,9,4,1.2,24,24.0,0,0,0,0,2022,5
431,Praveen Dubey,1,1,0,16,16,16.0,20,80.0,0,0,2,0,2023,1
432,Praveen Kumar,119,59,21,344,7,7.635,315,94.042,0,0,23,17,2017,10
433,Pravin Dubey,3,1,1,7,7,0.0,13,53.84,0,0,0,0,2020,1
434,Pravin Tambe,33,6,4,18,7,0.625,39,50.5975,0,0,1,0,2016,4
435,Prayas Ray Barman,1,1,0,19,19,19.0,24,79.16,0,0,2,0,2019,1
436,Prerak Mankad,6,6,3,97,64,15.5,73,264.58,0,1,13,2,2023,2
437,Prithvi Raj Yarra,2,1,1,0,0,0.0,1,0.0,0,0,0,0,2019,1
438,Prithvi Shaw,79,79,0,1892,99,23.577142857142857,1283,146.25428571428571,0,14,238,61,2024,7
439,Priyam Garg,23,19,1,273,51,15.7925,241,113.035,0,1,16,9,2023,4
440,Quinton De Kock,30,30,1,901,81,31.590000000000003,629,141.18666666666667,1,7,86,40,2024,3
441,Quinton de Kock,77,77,5,2256,81,28.44875,1723,120.7125,1,16,230,83,2021,8
442,RP Singh,67,30,15,52,4,3.382,76,61.38199999999999,0,0,2,1,2012,5
443,Rachin Ravindra,10,10,0,222,61,22.2,138,160.86,0,1,22,12,2024,1
444,Rahmanullah Gurbaz,14,13,0,289,81,25.82,216,134.15,0,2,24,19,2024,2
445,Rahul Chahar,64,21,7,129,8,7.105,115,109.27499999999999,0,0,13,5,2024,6
446,Rahul Dravid,89,82,5,2174,75,28.171666666666667,1882,116.85333333333334,0,11,269,28,2013,6
447,Rahul Sharma,42,20,6,66,2,5.2275,75,77.1725,0,0,5,3,2013,4
448,Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0,2014,1
449,Rahul Tewatia,92,65,25,1013,53,23.91888888888889,752,135.66555555555556,0,1,84,47,2024,9
450,Rahul Tripathi,95,93,11,2236,93,26.96,1605,137.3075,0,12,223,84,2024,8
451,Raiphi Gomez,13,9,4,50,4,4.6,51,246.0,0,0,5,1,2013,2
452,Rajagopal Sathish,34,25,8,270,27,14.575,231,107.9325,0,0,22,6,2016,4
453,Rajangad Bawa,2,2,0,11,11,5.5,14,78.57,0,0,1,0,2022,1
454,Rajat Bhatia,87,44,19,334,26,13.876666666666667,266,112.83222222222223,0,0,23,13,2017,9
455,Rajat Patidar,27,24,1,799,55,34.54333333333333,503,148.13,1,7,51,54,2024,3
456,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2,2009,1
457,Ramandeep Singh,20,13,7,170,35,26.875,102,157.055,0,0,8,13,2024,2
458,Ramesh Powar,26,10,7,67,8,9.75,64,96.245,0,0,6,1,2011,4
459,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1,2008,1
460,Rashid Khan,121,60,23,545,79,14.85875,337,158.05375,0,1,39,38,2024,8
461,Rasikh Salam,11,6,1,40,7,4.666666666666667,40,111.66333333333334,0,0,5,0,2024,3
462,Rassie van der Dussen,3,3,1,22,12,11.0,24,91.66,0,0,2,0,2022,1
463,Ravi Bishnoi,52,14,6,32,6,4.0,49,56.015,0,0,2,0,2024,4
464,Ravi Bopara,24,22,4,531,84,29.2,453,117.55666666666666,0,3,39,16,2015,3
465,Ravi Rampaul,12,7,2,51,23,11.25,50,101.35,0,0,3,2,2014,2
466,Ravichandran Ashwin,212,94,34,800,8,12.334,675,107.98466666666667,0,1,61,28,2024,15
467,Ravindra Jadeja,240,184,76,2959,62,30.63125,2281,130.5075,0,3,215,107,2024,16
468,Reece Topley,4,1,1,3,3,0.0,6,50.0,0,0,0,0,2024,1
469,Reetinder Sodhi,3,1,1,4,4,0.0,2,200.0,0,0,1,0,2010,1
470,Richard Gleeson,2,1,1,2,2,0.0,2,100.0,0,0,0,0,2024,1
471,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4,2012,1
472,Ricky Bhui,4,4,0,10,7,2.8333333333333335,26,30.55333333333333,0,0,0,0,2024,3
473,Ricky Ponting,10,9,0,91,28,10.075,128,71.455,0,0,5,2,2013,2
474,Rilee Rossouw,22,22,2,473,82,19.06,308,141.3075,0,2,45,25,2024,4
475,Rinku Singh,46,40,11,893,67,24.911666666666665,623,124.87666666666667,0,4,67,46,2024,6
476,Ripal Patel,9,7,2,80,6,15.776666666666666,73,135.51333333333332,0,0,6,2,2023,3
477,Rishabh Pant,111,110,17,3284,97,34.8225,2205,147.7225,1,18,296,154,2024,8
478,Rishi Dhawan,38,24,13,210,25,15.75,187,135.15166666666667,0,0,18,7,2023,6
479,Riyan Parag,70,58,10,1173,84,22.938333333333333,868,126.12,0,6,84,60,2024,6
480,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3,2009,1
481,Robin Peterson,5,5,2,32,16,10.66,30,106.66,0,0,3,1,2012,1
482,Robin Uthappa,205,197,17,4952,88,27.520666666666667,3799,130.64066666666668,0,27,481,182,2022,15
483,Roelof van der Merwe,18,15,4,159,8,6.8125,141,87.495,0,0,11,8,2013,4
484,Rohan Gavaskar,2,1,0,2,2,2.0,8,25.0,0,0,0,0,2010,1
485,Rohan Raje,10,5,4,20,6,6.0,18,111.105,0,0,1,1,2009,2
486,Rohit Sharma,257,252,29,6628,98,30.05235294117647,5054,131.08529411764704,2,43,599,280,2024,17
487,Romario Shepherd,9,8,4,115,39,28.75,62,206.44,0,0,7,10,2024,2
488,Ronit More,2,1,1,2,2,0.0,2,100.0,0,0,0,0,2015,1
489,Ross Taylor,55,54,14,1017,81,25.502857142857145,822,121.86428571428571,0,3,66,46,2014,7
490,Rovman Powell,27,22,3,360,67,14.833333333333334,244,126.31333333333333,0,1,21,28,2024,3
491,Ruturaj  Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14,2022,1
492,Ruturaj Gaikwad,52,51,8,2012,92,47.8725,1448,136.4075,2,15,184,77,2024,4
493,Ryan Harris,37,21,9,117,9,11.690000000000001,112,103.03,0,0,6,3,2013,5
494,Ryan McLaren,18,13,5,159,51,17.833333333333332,171,79.8,0,1,14,1,2013,3
495,Ryan Ninan,2,1,0,3,3,3.0,6,50.0,0,0,0,0,2011,1
496,Ryan ten Doeschate,29,22,8,326,70,25.131999999999998,235,134.922,0,1,26,15,2015,5
497,Sachin Baby,19,11,1,144,7,9.7,118,83.66250000000001,0,0,11,5,2021,4
498,Sachin Rana,11,8,4,91,19,21.165,81,112.4,0,0,9,1,2014,2
499,Sachin Tendulkar,78,78,11,2334,89,34.333333333333336,1948,118.49666666666667,1,13,295,29,2013,6
500,Sachithra Senanayake,8,4,3,10,7,10.0,17,58.82,0,0,0,0,2013,1
501,Sai Kishore,5,2,1,13,13,13.0,6,216.66,0,0,0,2,2024,1
502,Sai Sudharsan,25,25,3,1034,96,45.29,743,136.62333333333333,1,6,95,31,2024,3
503,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2,2008,1
504,Sam Billings,30,27,1,503,56,16.528,388,106.22200000000001,0,3,40,20,2022,5
505,Sam Curran,59,48,13,883,63,24.052,647,151.394,0,5,74,37,2024,5
506,Sameer Rizwi,8,5,1,51,21,12.75,43,118.6,0,0,4,2,2024,1
507,Samuel Badree,7,5,0,13,8,2.6,23,56.52,0,0,0,0,2017,1
508,Sanath Jayasuriya,30,30,2,772,52,23.27333333333333,532,129.72666666666666,1,4,85,39,2010,3
