,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,Seasons
574,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3,2008,1
575,Steve Smith,103,93,21,2485,84,35.42111111111111,1940,128.60000000000002,1,11,225,60,2021,9
576,Stuart Binny,95,68,23,880,8,19.958,683,132.66500000000002,0,0,66,35,2019,10
577,Subramaniam Badrinath,95,67,20,1441,71,31.05,1212,118.39333333333333,0,11,154,28,2013,6
578,Sudeep Tyagi,6,1,1,3,3,0.0,4,75.0,0,0,0,0,2010,1
579,Sumit Kumar,4,3,1,18,9,9.0,24,75.0,0,0,2,1,2024,1
580,Sumit Narwal,7,4,1,37,23,15.0,27,134.995,0,0,6,0,2013,2
581,Sunil Joshi,4,2,0,6,3,3.0,14,42.85,0,0,0,0,2008,1
582,Sunil Narine,177,110,20,1534,9,11.795384615384616,925,123.79307692307692,1,7,164,97,2024,13
583,Sunny Singh,6,5,1,43,20,10.75,31,138.7,0,0,6,1,2011,1
584,Sunny Sohal,21,20,0,368,62,13.756666666666666,292,101.33666666666666,0,2,34,18,2011,3
585,Suraj Randiv,8,1,0,2,2,2.0,4,50.0,0,0,0,0,2011,1
586,Suresh Raina,205,200,30,5528,98,32.963846153846156,4042,135.91615384615386,1,39,506,203,2021,13
587,Suryakumar Yadav,149,134,23,3594,82,31.505454545454544,2469,142.9618181818182,2,24,385,130,2024,11
588,Suyash S Prabhudessai,11,10,0,126,34,15.383333333333333,106,122.52,0,0,11,4,2024,3
589,Swapnil Asnodkar,20,20,0,423,9,14.575,339,115.96000000000001,0,2,56,10,2011,4
590,Swapnil Singh,14,9,4,51,2,6.125,45,72.335,0,0,3,3,2024,4
591,Syed Mohammad,11,5,3,29,9,1.6666666666666667,26,200.64000000000001,0,0,4,0,2013,3
592,T Natarajan,16,3,3,3,3,0.0,5,60.0,0,0,0,0,2020,1
593,Tabraiz Shamsi,1,1,1,2,2,0.0,4,50.0,0,0,0,0,2021,1
594,Tanmay Srivastava,7,3,2,8,7,4.0,11,40.0,0,0,0,0,2009,2
595,Tanush Kotian,1,1,0,24,24,24.0,31,77.41,0,0,3,0,2024,1
596,Taruwar Kohli,4,4,1,11,7,3.0,19,45.83,0,0,0,1,2009,2
597,Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0,2008,1
598,Thalaivan Sargunam,1,1,0,10,10,10.0,17,58.82,0,0,0,0,2013,1
599,Thilan Thushara,6,4,2,12,8,6.0,18,59.735,0,0,0,0,2010,2
600,Thisara Perera,36,30,8,422,9,13.244,307,102.77000000000001,0,0,23,26,2016,5
601,Tilak Varma,38,38,9,1156,84,40.190000000000005,790,148.25666666666666,0,6,90,58,2024,3
602,Tillakaratne Dilshan,38,37,4,735,76,20.746,666,106.22200000000001,0,5,98,11,2013,5
603,Tim David,38,35,12,659,46,23.5,387,141.59,0,0,38,46,2024,4
604,Tim Paine,2,2,0,10,8,5.0,26,38.46,0,0,0,0,2011,1
605,Tim Seifert,3,3,0,26,21,7.0,23,88.155,0,0,4,0,2022,2
606,Tim Southee,47,20,7,120,9,7.9375,107,115.67,0,0,8,4,2022,8
607,Tirumalasetti Suman,43,40,8,676,78,17.308,575,108.04400000000001,0,2,55,26,2013,5
608,Tom Banton,2,2,0,18,10,9.0,20,90.0,0,0,1,1,2020,1
609,Tom Curran,13,10,5,127,54,37.22,107,113.17666666666666,0,1,10,3,2021,3
610,Tom Kohler- Cadmore,4,3,0,48,20,16.0,54,88.88,0,0,7,1,2024,1
611,Travis Birt,5,5,0,75,27,15.0,58,129.31,0,0,9,2,2011,1
612,Travis Head,25,25,4,772,75,32.56666666666667,444,155.45333333333335,1,5,76,40,2024,3
613,Trent Boult,96,27,19,83,6,6.25,78,75.27625,0,0,5,3,2024,8
614,Tristan Stubbs,18,17,6,405,71,22.5,233,107.18,0,3,26,26,2024,3
615,Tushar Deshpande,5,2,1,21,20,21.0,12,175.0,0,0,2,1,2020,1
616,Tymal Mills,5,3,0,8,6,2.66,11,72.72,0,0,0,1,2017,1
617,Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1,2009,1
618,Udit Birla,2,1,0,7,7,7.0,14,50.0,0,0,1,0,2013,1
619,Umar Gul,6,4,1,39,24,13.0,19,205.26,0,0,1,5,2008,1
620,Umesh Yadav,148,52,31,208,7,9.178571428571429,201,84.85357142857143,0,0,16,9,2024,14
621,Umran Malik,22,6,4,23,3,11.5,16,143.75,0,0,1,2,2023,2
622,Unmukt Chand,21,20,0,300,58,9.825000000000001,300,61.275,0,1,32,9,2016,6
623,Usman Khawaja,6,6,0,127,30,21.16,100,127.0,0,0,14,3,2016,1
624,VVS Laxman,20,20,2,282,52,15.565000000000001,267,96.60249999999999,0,1,33,5,2011,4
625,Vaibhav Arora,20,8,6,9,2,0.8333333333333334,16,96.15333333333332,0,0,0,0,2024,3
626,Varun Aaron,38,11,6,50,6,1.9166666666666667,67,71.52,0,0,2,2,2020,6
627,Varun Chakaravarthy,55,12,8,25,7,2.0,46,48.6075,0,0,2,0,2023,4
628,Venkatesh Iyer,51,49,7,1326,70,33.192499999999995,967,135.1975,1,11,121,61,2024,4
629,Venugopal Rao,64,54,10,985,71,21.57166666666667,836,110.40333333333332,0,3,77,37,2014,6
630,Vidyut Sivaramakrishnan,9,8,0,145,54,18.12,109,133.02,0,1,21,3,2008,1
631,Vijay Shankar,71,60,16,1115,63,27.3325,859,118.3175,0,6,80,45,2024,8
632,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1,2014,1
633,Vijayakanth Viyaskanth,3,1,1,7,7,0.0,5,140.0,0,0,0,0,2024,1
634,Vikram Singh,13,2,0,4,4,2.0,3,133.33,0,0,1,0,2008,1
635,Vikramjeet Malik,4,2,1,7,6,3.0,7,85.0,0,0,1,0,2014,2
636,Vikrant Yeligati,2,1,0,2,2,2.0,2,100.0,0,0,0,0,2008,1
637,Vinay Kumar,104,46,18,310,6,13.141,274,105.494,0,0,21,9,2018,10
638,Virat Kohli,252,244,37,8004,99,38.862941176470585,6065,128.9829411764706,8,55,705,272,2024,17
639,Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0,2021,1
640,Virender Sehwag,93,93,4,2530,95,27.785714285714285,1617,153.51714285714283,2,15,310,99,2015,7
641,Vishnu Vinod,6,6,0,56,9,9.33,57,96.21,0,0,3,3,2023,2
642,Vivrant Sharma,3,1,0,69,69,69.0,47,146.8,0,1,9,2,2023,1
643,Vyshak Vijaykumar,11,4,2,14,13,7.0,12,88.88499999999999,0,0,0,1,2024,2
644,Wanindu Hasaranga,26,14,4,72,18,7.6433333333333335,73,85.40666666666668,0,0,7,1,2023,3
645,Washington Sundar,58,38,11,378,5,12.405714285714286,324,101.22,0,0,32,9,2023,7
646,Wasim Jaffer,8,8,0,130,8,13.33,121,99.4,0,1,14,3,2009,2
647,Wayne Parnell,33,14,4,65,5,5.215999999999999,80,75.33200000000001,0,0,4,1,2023,5
648,Wilkin Mota,12,8,2,56,25,16.0,75,79.39500000000001,0,0,2,0,2009,2
649,Will Jacks,8,8,1,230,100,32.86,131,175.57,1,1,16,18,2024,1
650,Wriddhiman Saha,170,145,24,2934,93,27.281176470588235,2300,124.75588235294117,1,13,296,87,2024,17
651,Y Gnaneswara Rao,2,1,0,19,19,19.0,17,111.76,0,0,3,0,2011,1
652,Yash Dhull,4,3,0,16,13,5.33,23,69.56,0,0,1,0,2023,1
653,Yashasvi Jaiswal,53,52,2,1607,68,28.636000000000003,1067,138.322,2,9,198,64,2024,5
654,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0,2009,1
655,Yo Mahesh,11,5,3,15,6,7.5,27,55.55,0,0,0,0,2008,1
656,Yogesh Nagar,24,18,6,263,43,23.125,233,112.64,0,0,19,9,2012,2
657,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1,2014,1
658,Younis Khan,1,1,0,3,3,3.0,7,42.85,0,0,0,0,2008,1
659,Yudhvir Singh,5,4,0,22,14,5.5,16,100.0,0,0,1,2,2024,2
660,Yusuf Pathan,174,154,44,3204,72,30.2975,2241,138.13583333333335,1,13,262,158,2019,12
661,Yuvraj Singh,132,126,15,2750,83,24.50090909090909,2120,128.20000000000002,0,13,217,149,2019,11
662,Yuzvendra Chahal,117,20,13,37,8,1.66625,86,52.545,0,0,0,0,2022,8
663,Zaheer Khan,91,32,18,117,7,9.0,141,85.7075,0,0,11,2,2017,8
