63,MS DhoniCSK,14,11,8,161,37*,53.67,73,220.54,0,0,14,13,2024
64,Shikhar DhawanPBKS,5,5,0,152,70,30.40,121,125.61,0,1,18,4,2024
65,Deepak HoodaLSG,11,9,1,145,50,18.13,105,138.09,0,1,16,3,2024
66,Naman DhirMI,7,7,1,140,62*,23.33,79,177.21,0,1,12,10,2024
67,Pat CumminsSRH,16,10,4,136,35*,22.67,95,143.15,0,0,9,8,2024
68,Wriddhiman SahaGT,9,9,0,136,39,15.11,115,118.26,0,0,18,3,2024
69,Krunal PandyaLSG,14,12,8,133,43*,33.25,105,126.66,0,0,8,5,2024
70,Moeen AliCSK,8,5,0,128,56,25.60,98,130.61,0,1,7,8,2024
71,Shahrukh KhanGT,7,7,0,127,58,18.14,75,169.33,0,1,9,9,2024
72,Ramandeep SinghKKR,15,9,5,125,35,31.25,62,201.61,0,0,5,12,2024
73,Mahipal LomrorRCB,10,10,2,125,33,15.63,68,183.82,0,0,9,9,2024
74,Shimron HetmyerRR,12,9,4,113,27*,22.60,69,163.76,0,0,9,7,2024
75,Liam LivingstonePBKS,7,7,2,111,38*,22.20,78,142.30,0,0,8,7,2024
76,Nehal WadheraMI,6,6,0,109,49,18.17,84,129.76,0,0,9,6,2024
77,Rovman PowellRR,10,7,1,103,27,17.17,68,151.47,0,0,10,6,2024
78,Rashid KhanGT,12,8,3,102,31,20.40,71,143.66,0,0,11,3,2024
79,Anuj RawatRCB,5,5,1,98,48,24.50,77,127.27,0,0,10,3,2024
80,Ravichandran AshwinRR,15,9,3,86,29,14.33,74,116.21,0,0,5,4,2024
81,Arshad KhanLSG,4,4,2,83,58*,41.50,54,153.70,0,1,6,5,2024
82,Vijay ShankarGT,7,7,2,83,17,16.60,72,115.27,0,0,7,2,2024
83,Harpreet BrarPBKS,13,7,5,75,29,37.50,54,138.88,0,0,8,2,2024
84,Dewald BrevisMI,3,3,0,69,46,23.00,59,116.94,0,0,3,5,2024
85,Mayank AgarwalSRH,4,4,0,64,32,16.00,57,112.28,0,0,8,1,2024
86,Rahmanullah GurbazKKR,3,2,0,62,39,31.00,46,134.78,0,0,7,4,2024
87,Mitchell MarshDC,4,4,0,61,23,15.25,38,160.52,0,0,9,3,2024
88,Atharva TaidePBKS,2,2,0,61,46,30.50,39,156.41,0,0,7,2,2024
89,Romario ShepherdMI,6,5,3,57,39*,28.50,21,271.42,0,0,5,5,2024
90,Glenn MaxwellRCB,10,9,0,52,28,5.78,43,120.93,0,0,6,2,2024
91,Sameer RizwiCSK,8,5,1,51,21,12.75,43,118.60,0,0,4,2,2024
92,Tom Kohler- CadmoreRR,4,3,0,48,20,16.00,54,88.88,0,0,7,1,2024
93,Kuldeep YadavDC,11,5,2,47,35*,15.67,41,114.63,0,0,6,1,2024
94,Sikandar RazaPBKS,2,2,0,43,28,21.50,38,113.15,0,0,2,2,2024
95,Manish PandeyKKR,1,1,0,42,42,42.00,31,135.48,0,0,2,2,2024
96,Azmatullah OmarzaiGT,7,4,0,42,17,10.50,33,127.27,0,0,2,2,2024
97,Nitish RanaKKR,2,2,0,42,33,21.00,34,123.52,0,0,5,1,2024
98,Devdutt PadikkalLSG,7,7,0,38,13,5.43,53,71.69,0,0,3,0,2024
99,Swapnil SinghRCB,7,5,3,37,15*,18.50,21,176.19,0,0,3,3,2024
100,Mohammad NabiMI,7,5,1,35,23,8.75,31,112.90,0,0,2,2,2024
101,Shubham DubeyRR,4,3,1,33,25,16.50,19,173.68,0,0,3,2,2024
102,Karn SharmaRCB,9,3,0,31,20,10.33,15,206.66,0,0,2,3,2024
103,Rasikh SalamDC,8,4,0,28,10,7.00,30,93.33,0,0,4,0,2024
104,Kane WilliamsonGT,2,2,0,27,26,13.50,27,100.00,0,0,4,0,2024
105,Harpreet BhatiaPBKS,2,2,0,27,14,13.50,34,79.41,0,0,2,0,2024
106,Suyash S PrabhudessaiRCB,1,1,0,24,24,24.00,18,133.33,0,0,3,0,2024
107,Jaydev UnadkatSRH,11,5,2,24,8*,8.00,26,92.30,0,0,2,1,2024
108,Tanush KotianRR,1,1,0,24,24,24.00,31,77.41,0,0,3,0,2024
109,Bhuvneshwar KumarSRH,16,5,2,23,13,7.67,29,79.31,0,0,3,0,2024
110,Yudhvir SinghLSG,2,2,0,21,14,10.50,14,150.00,0,0,1,2,2024
111,Rahul ChaharPBKS,9,2,1,21,16,21.00,15,140.00,0,0,3,1,2024
112,Shardul ThakurCSK,9,3,2,21,17,21.00,17,123.52,0,0,2,1,2024
113,Ashton TurnerLSG,2,2,0,21,16,10.50,18,116.66,0,0,0,2,2024
114,Kagiso RabadaPBKS,11,3,2,20,11*,20.00,14,142.85,0,0,0,2,2024
115,Gulbadin NaibDC,2,1,0,19,19,19.00,15,126.66,0,0,1,1,2024
116,Marco JansenSRH,3,2,1,18,17,18.00,13,138.46,0,0,1,1,2024
117,Saurav ChauhanRCB,3,3,0,18,9,6.00,15,120.00,0,0,1,1,2024
118,Sumit KumarDC,4,3,1,18,9*,9.00,24,75.00,0,0,2,1,2024
119,Piyush ChawlaMI,11,6,2,15,10,3.75,15,100.00,0,0,1,1,2024
120,Sanvir SinghSRH,4,3,2,14,8*,14.00,12,116.66,0,0,1,0,2024
121,Trent BoultRR,16,5,3,14,12,7.00,16,87.50,0,0,2,0,2024
122,Mitchell SantnerCSK,3,3,0,14,11,4.67,17,82.35,0,0,1,0,2024
123,Gerald CoetzeeMI,10,5,1,14,8,3.50,22,63.63,0,0,0,1,2024
124,Sai KishoreGT,5,2,1,13,13,13.00,6,216.66,0,0,0,2,2024
125,Harshal PatelPBKS,14,4,1,13,12,4.33,19,68.42,0,0,1,1,2024
126,Mohammed SirajRCB,14,3,1,12,12,6.00,8,150.00,0,0,0,2,2024
127,Darshan NalkandeGT,3,1,0,12,12,12.00,11,109.09,0,0,0,1,2024
128,Jasprit BumrahMI,13,4,4,12,8*,-,12,100.00,0,0,1,0,2024
129,Umesh YadavGT,7,2,1,12,10*,12.00,15,80.00,0,0,0,1,2024
130,Avesh KhanRR,16,3,3,10,7*,-,5,200.00,0,0,1,0,2024
131,Lalit YadavDC,2,2,0,10,7,5.00,12,83.33,0,0,1,0,2024
132,Luke WoodMI,2,1,1,9,9*,-,3,300.00,0,0,0,1,2024
133,Arshin Atul KulkarniLSG,2,2,0,9,9,4.50,8,112.50,0,0,2,0,2024
134,Mitchell StarcKKR,14,5,3,9,6*,4.50,11,81.81,0,0,1,0,2024
135,Abhinav ManoharGT,2,2,0,9,8,4.50,16,56.25,0,0,1,0,2024
136,Donovan FerreiraRR,2,2,0,8,7,4.00,11,72.72,0,0,0,0,2024
137,Vijayakanth ViyaskanthSRH,3,1,1,7,7*,-,5,140.00,0,0,0,0,2024
138,Spencer JohnsonGT,5,3,3,6,5*,-,7,85.71,0,0,1,0,2024
139,Anmolpreet SinghSRH,2,2,0,5,5,2.50,6,83.33,0,0,1,0,2024
140,Noor AhmadGT,10,4,2,5,4,2.50,9,55.55,0,0,1,0,2024
141,Arshdeep SinghPBKS,14,1,0,4,4,4.00,3,133.33,0,0,1,0,2024
142,Akash MadhwalMI,5,1,1,4,4*,-,5,80.00,0,0,0,0,2024
143,Matthew WadeGT,2,1,0,4,4,4.00,6,66.66,0,0,0,0,2024
144,Ravi BishnoiLSG,14,3,0,4,2,1.33,6,66.66,0,0,0,0,2024
145,Anrich NortjeDC,6,2,0,4,4,2.00,8,50.00,0,0,0,0,2024
146,Mohit SharmaGT,12,3,1,4,4,2.00,15,26.66,0,0,0,0,2024
147,Anukul RoyKKR,4,1,1,3,3*,-,3,100.00,0,0,0,0,2024
148,Reece TopleyRCB,4,1,1,3,3*,-,6,50.00,0,0,0,0,2024
149,Kumar KushagraDC,4,3,0,3,2,1.00,7,42.85,0,0,0,0,2024
150,Mukesh KumarDC,10,2,1,3,3,3.00,9,33.33,0,0,0,0,2024
151,Ricky BhuiDC,2,2,0,3,3,1.50,9,33.33,0,0,0,0,2024
152,Mohsin KhanLSG,9,1,0,2,2,2.00,1,200.00,0,0,0,0,2024
153,Richard GleesonCSK,2,1,1,2,2*,-,2,100.00,0,0,0,0,2024
154,Jhye RichardsonDC,1,1,0,2,2,2.00,2,100.00,0,0,0,0,2024
155,Anshul KambojMI,3,1,1,2,2*,-,2,100.00,0,0,0,0,2024
156,Akash DeepRCB,1,1,1,2,2*,-,2,100.00,0,0,0,0,2024
157,Shivam SinghPBKS,1,1,1,2,2*,-,3,66.66,0,0,0,0,2024
158,Naveen-Ul-HaqLSG,10,3,3,2,2*,-,4,50.00,0,0,0,0,2024
159,B R SharathGT,1,1,0,2,2,2.00,5,40.00,0,0,0,0,2024
160,Vaibhav AroraKKR,10,2,2,1,1*,-,1,100.00,0,0,0,0,2024
161,Shams MulaniMI,2,1,1,1,1*,-,1,100.00,0,0,0,0,2024
162,Lockie FergusonRCB,7,1,0,1,1,1.00,1,100.00,0,0,0,0,2024
163,Lizaad WilliamsDC,2,1,1,1,1*,-,2,50.00,0,0,0,0,2024
164,Keshav MaharajRR,2,1,0,1,1,1.00,2,50.00,0,0,0,0,2024
165,Manav SutharGT,1,1,0,1,1,1.00,2,50.00,0,0,0,0,2024
166,Vyshak VijaykumarRCB,4,2,1,1,1*,1.00,3,33.33,0,0,0,0,2024
167,Ishant SharmaDC,9,2,2,1,1*,-,7,14.28,0,0,0,0,2024
