78,Maheesh TheekshanaCSK,5,5,20.0,2,144,27/1,72.00,7.20,60.00,0,0,2024
79,Abhishek SharmaSRH,16,4,7.0,2,51,24/2,25.50,7.28,21.00,0,0,2024
80,Mohammad NabiMI,7,6,12.2,2,109,16/1,54.50,8.83,37.00,0,0,2024
81,Moeen AliCSK,8,4,8.0,2,71,23/2,35.50,8.87,24.00,0,0,2024
82,Vidwath KaverappaPBKS,1,1,4.0,2,36,36/2,18.00,9.00,12.00,0,0,2024
83,Will JacksRCB,8,5,9.0,2,100,23/1,50.00,11.11,27.00,0,0,2024
84,Anshul KambojMI,3,3,10.0,2,114,24/1,57.00,11.40,30.00,0,0,2024
85,Shashank SinghPBKS,14,1,1.0,1,5,5/1,5.00,5.00,6.00,0,0,2024
86,Nathan EllisPBKS,1,1,4.0,1,24,24/1,24.00,6.00,24.00,0,0,2024
87,M SiddharthLSG,3,3,9.0,1,71,21/1,71.00,7.88,54.00,0,0,2024
88,Vijayakanth ViyaskanthSRH,3,3,10.0,1,86,37/1,86.00,8.60,60.00,0,0,2024
89,Richard GleesonCSK,2,2,7.5,1,71,30/1,71.00,9.06,47.00,0,0,2024
90,Matt HenryLSG,4,4,12.0,1,110,28/1,110.00,9.16,72.00,0,0,2024
91,Amit MishraLSG,1,1,2.0,1,20,20/1,20.00,10.00,12.00,0,0,2024
92,Mayank DagarRCB,5,5,11.5,1,120,23/1,120.00,10.14,71.00,0,0,2024
93,Arshad KhanLSG,4,4,10.1,1,114,45/1,114.00,11.21,61.00,0,0,2024
94,Daryl MitchellCSK,13,2,6.0,1,70,18/1,70.00,11.66,36.00,0,0,2024
95,Alzarri JosephRCB,3,3,9.4,1,115,43/1,115.00,11.89,58.00,0,0,2024
96,Lizaad WilliamsDC,2,2,6.0,1,72,38/1,72.00,12.00,36.00,0,0,2024
97,Mitchell MarshDC,4,3,8.0,1,103,37/1,103.00,12.87,48.00,0,0,2024
98,Marco JansenSRH,3,3,10.0,1,129,45/1,129.00,12.90,60.00,0,0,2024
99,Yudhvir SinghLSG,2,2,4.0,1,52,24/1,52.00,13.00,24.00,0,0,2024
100,Romario ShepherdMI,6,5,12.0,1,159,54/1,159.00,13.25,72.00,0,0,2024
101,Shivam DubeCSK,14,1,1.0,1,14,14/1,14.00,14.00,6.00,0,0,2024
102,Washington SundarSRH,2,2,5.0,1,73,46/1,73.00,14.60,30.00,0,0,2024
103,Kwena MaphakaMI,2,2,6.0,1,89,23/1,89.00,14.83,36.00,0,0,2024
104,Luke WoodMI,2,2,6.0,1,93,68/1,93.00,15.50,36.00,0,0,2024
105,Akash DeepRCB,1,1,3.3,1,55,55/1,55.00,15.71,21.00,0,0,2024
